,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
19,bebedor,bebedor,sing,2,default,0.000313627504510805,plural,plural,son,es,[MASK] bebedor [MASK],"[CLS] , [MASK] , bebe , ##dor , [MASK] , [SEP]",non_morphemic,8.067304567623466
20,bebedor,bebedores,plur,2,default,0.0009662572992965579,singular,singular,es,es,[MASK] bebedores [MASK],"[CLS] , [MASK] , bebe , ##dores , [MASK] , [SEP]",non_morphemic,6.9420804038385935
21,bebedor,bebedores,plur,2,default,0.008790790103375912,plural,plural,son,es,[MASK] bebedores [MASK],"[CLS] , [MASK] , bebe , ##dores , [MASK] , [SEP]",non_morphemic,4.734050684706191
22,bebedor,bebedor##es,plur,3,artificial,0.0010939075145870447,singular,singular,es,es,[MASK] bebedor##es [MASK],"[CLS] , [MASK] , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,6.817999117324648
23,bebedor,bebedor##es,plur,3,artificial,0.015279931016266346,plural,plural,son,es,[MASK] bebedor##es [MASK],"[CLS] , [MASK] , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,4.181215009896208
24,rumano,rumano,sing,2,default,0.0036084437742829323,singular,singular,es,s,[MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",non_morphemic,5.624478687038509
25,rumano,rumano,sing,2,default,0.00029303834890015423,plural,plural,son,s,[MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",non_morphemic,8.135207073893447
26,rumano,rumanos,plur,2,default,0.00042403352563269436,singular,singular,es,s,[MASK] rumanos [MASK],"[CLS] , [MASK] , rum , ##anos , [MASK] , [SEP]",non_morphemic,7.765698035969745
27,rumano,rumanos,plur,2,default,0.006056441459804773,plural,plural,son,s,[MASK] rumanos [MASK],"[CLS] , [MASK] , rum , ##anos , [MASK] , [SEP]",non_morphemic,5.106632869234842
28,rumano,rumano##s,plur,3,artificial,0.0007539333309978247,singular,singular,es,s,[MASK] rumano##s [MASK],"[CLS] , [MASK] , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,7.190206614292923
29,rumano,rumano##s,plur,3,artificial,0.00927848368883133,plural,plural,son,s,[MASK] rumano##s [MASK],"[CLS] , [MASK] , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,4.680057141134616
30,mandatario,mandatario,sing,2,default,0.007812367286533117,singular,singular,es,s,[MASK] mandatario [MASK],"[CLS] , [MASK] , manda , ##tario , [MASK] , [SEP]",non_morphemic,4.852047251387664
31,mandatario,mandatario,sing,2,default,0.0007120220689103007,plural,plural,son,s,[MASK] mandatario [MASK],"[CLS] , [MASK] , manda , ##tario , [MASK] , [SEP]",non_morphemic,7.247401651372119
32,mandatario,mandatarios,plur,2,default,0.000976479728706181,singular,singular,es,s,[MASK] mandatarios [MASK],"[CLS] , [MASK] , manda , ##tarios , [MASK] , [SEP]",non_morphemic,6.93155656699647
33,mandatario,mandatarios,plur,2,default,0.016795150935649872,plural,plural,son,s,[MASK] mandatarios [MASK],"[CLS] , [MASK] , manda , ##tarios , [MASK] , [SEP]",non_morphemic,4.086665069018705
34,mandatario,mandatario##s,plur,3,artificial,0.002193970140069723,singular,singular,es,s,[MASK] mandatario##s [MASK],"[CLS] , [MASK] , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,6.122042527034965
35,mandatario,mandatario##s,plur,3,artificial,0.01814112439751625,plural,plural,son,s,[MASK] mandatario##s [MASK],"[CLS] , [MASK] , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,4.009573851788525
36,negociador,negociador,sing,2,default,0.00030173404957167804,singular,singular,es,es,[MASK] negociador [MASK],"[CLS] , [MASK] , negociado , ##r , [MASK] , [SEP]",non_morphemic,8.105964559129648
37,negociador,negociador,sing,2,default,1.235450599779142e-05,plural,plural,son,es,[MASK] negociador [MASK],"[CLS] , [MASK] , negociado , ##r , [MASK] , [SEP]",non_morphemic,11.301489703314063
38,negociador,negociadores,plur,2,default,8.708842506166548e-05,singular,singular,es,es,[MASK] negociadores [MASK],"[CLS] , [MASK] , negociado , ##res , [MASK] , [SEP]",non_morphemic,9.348586575455002
39,negociador,negociadores,plur,2,default,0.000519425084348768,plural,plural,son,es,[MASK] negociadores [MASK],"[CLS] , [MASK] , negociado , ##res , [MASK] , [SEP]",non_morphemic,7.562787965044704
40,negociador,negociador##es,plur,3,artificial,0.0001957182103069499,singular,singular,es,es,[MASK] negociador##es [MASK],"[CLS] , [MASK] , negociado , ##r , ##es , [MASK] , [SEP]",non_morphemic,8.53883463573522
41,negociador,negociador##es,plur,3,artificial,0.0013943193480372429,plural,plural,son,es,[MASK] negociador##es [MASK],"[CLS] , [MASK] , negociado , ##r , ##es , [MASK] , [SEP]",non_morphemic,6.575348905335699
42,comicio,comicio,sing,2,default,0.014688213355839252,singular,singular,es,s,[MASK] comicio [MASK],"[CLS] , [MASK] , com , ##icio , [MASK] , [SEP]",non_morphemic,4.2207099193489865
43,comicio,comicio,sing,2,default,0.001775606768205762,plural,plural,son,s,[MASK] comicio [MASK],"[CLS] , [MASK] , com , ##icio , [MASK] , [SEP]",non_morphemic,6.333613073226481
44,comicio,comicios,plur,2,default,0.00010618864325806499,singular,singular,es,s,[MASK] comicios [MASK],"[CLS] , [MASK] , com , ##icios , [MASK] , [SEP]",non_morphemic,9.150293392180993
45,comicio,comicios,plur,2,default,0.0010834354907274246,plural,plural,son,s,[MASK] comicios [MASK],"[CLS] , [MASK] , com , ##icios , [MASK] , [SEP]",non_morphemic,6.827618276621477
46,comicio,comicio##s,plur,3,artificial,0.0004146133142057806,singular,singular,es,s,[MASK] comicio##s [MASK],"[CLS] , [MASK] , com , ##icio , ##s , [MASK] , [SEP]",non_morphemic,7.788164245101998
47,comicio,comicio##s,plur,3,artificial,0.010801832191646099,plural,plural,son,s,[MASK] comicio##s [MASK],"[CLS] , [MASK] , com , ##icio , ##s , [MASK] , [SEP]",non_morphemic,4.5280395118658125
48,sondeo,sondeo,sing,2,default,0.009330238215625286,singular,singular,es,s,[MASK] sondeo [MASK],"[CLS] , [MASK] , son , ##deo , [MASK] , [SEP]",non_morphemic,4.674494732227466
49,sondeo,sondeo,sing,2,default,0.0015744161792099476,plural,plural,son,s,[MASK] sondeo [MASK],"[CLS] , [MASK] , son , ##deo , [MASK] , [SEP]",non_morphemic,6.453870755290005
50,sondeo,sondeos,plur,2,default,0.0004252519574947655,singular,singular,es,s,[MASK] sondeos [MASK],"[CLS] , [MASK] , son , ##deos , [MASK] , [SEP]",non_morphemic,7.762828723536604
51,sondeo,sondeos,plur,2,default,0.0056859757751226425,plural,plural,son,s,[MASK] sondeos [MASK],"[CLS] , [MASK] , son , ##deos , [MASK] , [SEP]",non_morphemic,5.169752526205134
52,sondeo,sondeo##s,plur,3,artificial,0.0005922504933550954,singular,singular,es,s,[MASK] sondeo##s [MASK],"[CLS] , [MASK] , son , ##deo , ##s , [MASK] , [SEP]",non_morphemic,7.431580881907414
53,sondeo,sondeo##s,plur,3,artificial,0.011917795054614544,plural,plural,son,s,[MASK] sondeo##s [MASK],"[CLS] , [MASK] , son , ##deo , ##s , [MASK] , [SEP]",non_morphemic,4.429722613095311
54,insulto,insulto,sing,2,default,0.017672235146164894,singular,singular,es,s,[MASK] insulto [MASK],"[CLS] , [MASK] , insul , ##to , [MASK] , [SEP]",non_morphemic,4.035760506809519
55,insulto,insulto,sing,2,default,0.0017076429212465882,plural,plural,son,s,[MASK] insulto [MASK],"[CLS] , [MASK] , insul , ##to , [MASK] , [SEP]",non_morphemic,6.372641267974368
56,insulto,insultos,plur,2,default,0.0009863440645858645,singular,singular,es,s,[MASK] insultos [MASK],"[CLS] , [MASK] , insul , ##tos , [MASK] , [SEP]",non_morphemic,6.921505314346246
57,insulto,insultos,plur,2,default,0.013977346010506153,plural,plural,son,s,[MASK] insultos [MASK],"[CLS] , [MASK] , insul , ##tos , [MASK] , [SEP]",non_morphemic,4.2703174020795425
58,insulto,insulto##s,plur,3,artificial,0.0013229002943262458,singular,singular,es,s,[MASK] insulto##s [MASK],"[CLS] , [MASK] , insul , ##to , ##s , [MASK] , [SEP]",non_morphemic,6.62792876001033
59,insulto,insulto##s,plur,3,artificial,0.009203215129673481,plural,plural,son,s,[MASK] insulto##s [MASK],"[CLS] , [MASK] , insul , ##to , ##s , [MASK] , [SEP]",non_morphemic,4.688202385361093
60,analista,analista,sing,2,default,0.0008873559418134391,singular,singular,es,s,[MASK] analista [MASK],"[CLS] , [MASK] , anal , ##ista , [MASK] , [SEP]",non_morphemic,7.02726436887332
61,analista,analista,sing,2,default,3.846621257252991e-05,plural,plural,son,s,[MASK] analista [MASK],"[CLS] , [MASK] , anal , ##ista , [MASK] , [SEP]",non_morphemic,10.165730297501636
62,analista,analistas,plur,2,default,0.0008399775833822787,singular,singular,es,s,[MASK] analistas [MASK],"[CLS] , [MASK] , anal , ##istas , [MASK] , [SEP]",non_morphemic,7.0821353529326725
63,analista,analistas,plur,2,default,0.004210163839161396,plural,plural,son,s,[MASK] analistas [MASK],"[CLS] , [MASK] , anal , ##istas , [MASK] , [SEP]",non_morphemic,5.470253715379666
64,analista,analista##s,plur,3,artificial,0.0012479748111218214,singular,singular,es,s,[MASK] analista##s [MASK],"[CLS] , [MASK] , anal , ##ista , ##s , [MASK] , [SEP]",non_morphemic,6.686233192634565
65,analista,analista##s,plur,3,artificial,0.001689558383077383,plural,plural,son,s,[MASK] analista##s [MASK],"[CLS] , [MASK] , anal , ##ista , ##s , [MASK] , [SEP]",non_morphemic,6.38328809598356
66,nexo,nexo,sing,2,default,0.015853749588131905,singular,singular,es,s,[MASK] nexo [MASK],"[CLS] , [MASK] , ne , ##xo , [MASK] , [SEP]",non_morphemic,4.1443492395618575
67,nexo,nexo,sing,2,default,0.0020516167860478163,plural,plural,son,s,[MASK] nexo [MASK],"[CLS] , [MASK] , ne , ##xo , [MASK] , [SEP]",non_morphemic,6.189127120552521
68,nexo,nexos,plur,2,default,0.005907662678509951,singular,singular,es,s,[MASK] nexos [MASK],"[CLS] , [MASK] , ne , ##xos , [MASK] , [SEP]",non_morphemic,5.131505011659013
69,nexo,nexos,plur,2,default,0.011840451508760452,plural,plural,son,s,[MASK] nexos [MASK],"[CLS] , [MASK] , ne , ##xos , [MASK] , [SEP]",non_morphemic,4.436233516067518
70,nexo,nexo##s,plur,3,artificial,0.0026366522070020437,singular,singular,es,s,[MASK] nexo##s [MASK],"[CLS] , [MASK] , ne , ##xo , ##s , [MASK] , [SEP]",non_morphemic,5.938245269955743
71,nexo,nexo##s,plur,3,artificial,0.004638486076146364,plural,plural,son,s,[MASK] nexo##s [MASK],"[CLS] , [MASK] , ne , ##xo , ##s , [MASK] , [SEP]",non_morphemic,5.373367242676388
72,cautivo,cautivo,sing,2,default,0.00860156212002039,singular,singular,es,s,[MASK] cautivo [MASK],"[CLS] , [MASK] , cautiv , ##o , [MASK] , [SEP]",non_morphemic,4.755811450354725
73,cautivo,cautivo,sing,2,default,0.0008008871809579432,plural,plural,son,s,[MASK] cautivo [MASK],"[CLS] , [MASK] , cautiv , ##o , [MASK] , [SEP]",non_morphemic,7.129790468558782
74,cautivo,cautivos,plur,2,default,0.0021851109340786934,singular,singular,es,s,[MASK] cautivos [MASK],"[CLS] , [MASK] , cautiv , ##os , [MASK] , [SEP]",non_morphemic,6.126088680977976
75,cautivo,cautivos,plur,2,default,0.007772417739033699,plural,plural,son,s,[MASK] cautivos [MASK],"[CLS] , [MASK] , cautiv , ##os , [MASK] , [SEP]",non_morphemic,4.8571739996790475
76,cautivo,cautivo##s,plur,3,artificial,0.002095306757837534,singular,singular,es,s,[MASK] cautivo##s [MASK],"[CLS] , [MASK] , cautiv , ##o , ##s , [MASK] , [SEP]",non_morphemic,6.168055312538153
77,cautivo,cautivo##s,plur,3,artificial,0.005304049234837294,plural,plural,son,s,[MASK] cautivo##s [MASK],"[CLS] , [MASK] , cautiv , ##o , ##s , [MASK] , [SEP]",non_morphemic,5.239284743555442
78,millar,millar,sing,2,default,0.0009688143036328256,singular,singular,es,es,[MASK] millar [MASK],"[CLS] , [MASK] , milla , ##r , [MASK] , [SEP]",non_morphemic,6.939437601556073
79,millar,millar,sing,2,default,0.00021593185374513268,plural,plural,son,es,[MASK] millar [MASK],"[CLS] , [MASK] , milla , ##r , [MASK] , [SEP]",non_morphemic,8.440547691978837
80,millar,millares,plur,2,default,0.0007840026519261301,singular,singular,es,es,[MASK] millares [MASK],"[CLS] , [MASK] , milla , ##res , [MASK] , [SEP]",non_morphemic,7.1510981550607475
81,millar,millares,plur,2,default,0.003417942440137267,plural,plural,son,es,[MASK] millares [MASK],"[CLS] , [MASK] , milla , ##res , [MASK] , [SEP]",non_morphemic,5.678716534647837
82,millar,millar##es,plur,3,artificial,0.0006322325207293034,singular,singular,es,es,[MASK] millar##es [MASK],"[CLS] , [MASK] , milla , ##r , ##es , [MASK] , [SEP]",non_morphemic,7.366253318934276
83,millar,millar##es,plur,3,artificial,0.00211127195507288,plural,plural,son,es,[MASK] millar##es [MASK],"[CLS] , [MASK] , milla , ##r , ##es , [MASK] , [SEP]",non_morphemic,6.160464690809121
84,reformista,reformista,sing,2,default,0.009097523987293243,singular,singular,es,s,[MASK] reformista [MASK],"[CLS] , [MASK] , reform , ##ista , [MASK] , [SEP]",non_morphemic,4.699752991790779
85,reformista,reformista,sing,2,default,0.0002259276225231588,plural,plural,son,s,[MASK] reformista [MASK],"[CLS] , [MASK] , reform , ##ista , [MASK] , [SEP]",non_morphemic,8.39529586430666
86,reformista,reformistas,plur,2,default,0.0005118025583215058,singular,singular,es,s,[MASK] reformistas [MASK],"[CLS] , [MASK] , reform , ##istas , [MASK] , [SEP]",non_morphemic,7.577571635576781
87,reformista,reformistas,plur,2,default,0.006933193188160658,plural,plural,son,s,[MASK] reformistas [MASK],"[CLS] , [MASK] , reform , ##istas , [MASK] , [SEP]",non_morphemic,4.971434794393324
88,reformista,reformista##s,plur,3,artificial,0.0017815473256632686,singular,singular,es,s,[MASK] reformista##s [MASK],"[CLS] , [MASK] , reform , ##ista , ##s , [MASK] , [SEP]",non_morphemic,6.330273008206245
89,reformista,reformista##s,plur,3,artificial,0.007498555816709995,plural,plural,son,s,[MASK] reformista##s [MASK],"[CLS] , [MASK] , reform , ##ista , ##s , [MASK] , [SEP]",non_morphemic,4.893044834753501
90,uruguaya,uruguaya,sing,2,default,0.0009686020785011351,singular,singular,es,s,[MASK] uruguaya [MASK],"[CLS] , [MASK] , uruguay , ##a , [MASK] , [SEP]",non_morphemic,6.939656682115623
91,uruguaya,uruguaya,sing,2,default,0.00010264280717819929,plural,plural,son,s,[MASK] uruguaya [MASK],"[CLS] , [MASK] , uruguay , ##a , [MASK] , [SEP]",non_morphemic,9.184255488282261
92,uruguaya,uruguayas,plur,2,default,0.00012294415500946343,singular,singular,es,s,[MASK] uruguayas [MASK],"[CLS] , [MASK] , uruguay , ##as , [MASK] , [SEP]",non_morphemic,9.003780330005409
93,uruguaya,uruguayas,plur,2,default,0.0012033134698867798,plural,plural,son,s,[MASK] uruguayas [MASK],"[CLS] , [MASK] , uruguay , ##as , [MASK] , [SEP]",non_morphemic,6.722676302460996
94,uruguaya,uruguaya##s,plur,3,artificial,0.00011993749649263918,singular,singular,es,s,[MASK] uruguaya##s [MASK],"[CLS] , [MASK] , uruguay , ##a , ##s , [MASK] , [SEP]",non_morphemic,9.028539813439593
95,uruguaya,uruguaya##s,plur,3,artificial,0.001223145518451929,plural,plural,son,s,[MASK] uruguaya##s [MASK],"[CLS] , [MASK] , uruguay , ##a , ##s , [MASK] , [SEP]",non_morphemic,6.706329444521279
96,mejoría,mejoría,sing,2,default,0.005699920002371073,singular,singular,es,s,[MASK] mejoría [MASK],"[CLS] , [MASK] , mejor , ##ía , [MASK] , [SEP]",non_morphemic,5.167303138911861
97,mejoría,mejoría,sing,2,default,0.000460273731732741,plural,plural,son,s,[MASK] mejoría [MASK],"[CLS] , [MASK] , mejor , ##ía , [MASK] , [SEP]",non_morphemic,7.683689176480254
98,mejoría,mejorías,plur,2,default,0.0009254902834072709,singular,singular,es,s,[MASK] mejorías [MASK],"[CLS] , [MASK] , mejor , ##ías , [MASK] , [SEP]",non_morphemic,6.985186924755406
99,mejoría,mejorías,plur,2,default,0.010335874743759632,plural,plural,son,s,[MASK] mejorías [MASK],"[CLS] , [MASK] , mejor , ##ías , [MASK] , [SEP]",non_morphemic,4.572134450459628
100,mejoría,mejoría##s,plur,3,artificial,0.0012848373735323548,singular,singular,es,s,[MASK] mejoría##s [MASK],"[CLS] , [MASK] , mejor , ##ía , ##s , [MASK] , [SEP]",non_morphemic,6.6571231262064074
101,mejoría,mejoría##s,plur,3,artificial,0.010851386934518814,plural,plural,son,s,[MASK] mejoría##s [MASK],"[CLS] , [MASK] , mejor , ##ía , ##s , [MASK] , [SEP]",non_morphemic,4.52346237909873
102,urna,urna,sing,2,default,0.015318043529987335,singular,singular,es,s,[MASK] urna [MASK],"[CLS] , [MASK] , ur , ##na , [MASK] , [SEP]",non_morphemic,4.1787238297448015
103,urna,urna,sing,2,default,0.0004144447448197752,plural,plural,son,s,[MASK] urna [MASK],"[CLS] , [MASK] , ur , ##na , [MASK] , [SEP]",non_morphemic,7.7885708978966814
104,urna,urnas,plur,2,default,0.002224413678050041,singular,singular,es,s,[MASK] urnas [MASK],"[CLS] , [MASK] , ur , ##nas , [MASK] , [SEP]",non_morphemic,6.108261913573367
105,urna,urnas,plur,2,default,0.012285515666007996,plural,plural,son,s,[MASK] urnas [MASK],"[CLS] , [MASK] , ur , ##nas , [MASK] , [SEP]",non_morphemic,4.399334298634905
106,urna,urna##s,plur,3,artificial,0.0052553280256688595,singular,singular,es,s,[MASK] urna##s [MASK],"[CLS] , [MASK] , ur , ##na , ##s , [MASK] , [SEP]",non_morphemic,5.248512854970761
107,urna,urna##s,plur,3,artificial,0.007609741762280464,plural,plural,son,s,[MASK] urna##s [MASK],"[CLS] , [MASK] , ur , ##na , ##s , [MASK] , [SEP]",non_morphemic,4.878326041681625
108,injerencia,injerencia,sing,2,default,0.0020508805755525827,singular,singular,es,s,[MASK] injerencia [MASK],"[CLS] , [MASK] , injer , ##encia , [MASK] , [SEP]",non_morphemic,6.1894860290115625
109,injerencia,injerencia,sing,2,default,0.0005467280861921608,plural,plural,son,s,[MASK] injerencia [MASK],"[CLS] , [MASK] , injer , ##encia , [MASK] , [SEP]",non_morphemic,7.511558979334704
110,injerencia,injerencias,plur,2,default,0.00031668166047893465,singular,singular,es,s,[MASK] injerencias [MASK],"[CLS] , [MASK] , injer , ##encias , [MASK] , [SEP]",non_morphemic,8.057613514277874
111,injerencia,injerencias,plur,2,default,0.0017694629495963454,plural,plural,son,s,[MASK] injerencias [MASK],"[CLS] , [MASK] , injer , ##encias , [MASK] , [SEP]",non_morphemic,6.337079196744196
112,injerencia,injerencia##s,plur,3,artificial,0.00027537948335520923,singular,singular,es,s,[MASK] injerencia##s [MASK],"[CLS] , [MASK] , injer , ##encia , ##s , [MASK] , [SEP]",non_morphemic,8.197360472065686
113,injerencia,injerencia##s,plur,3,artificial,0.001721081673167646,plural,plural,son,s,[MASK] injerencia##s [MASK],"[CLS] , [MASK] , injer , ##encia , ##s , [MASK] , [SEP]",non_morphemic,6.364802306070147
114,pollito,pollito,sing,2,default,0.013751513324677944,singular,singular,es,s,[MASK] pollito [MASK],"[CLS] , [MASK] , pol , ##lito , [MASK] , [SEP]",non_morphemic,4.286606400949134
115,pollito,pollito,sing,2,default,0.0006830848869867623,plural,plural,son,s,[MASK] pollito [MASK],"[CLS] , [MASK] , pol , ##lito , [MASK] , [SEP]",non_morphemic,7.288891420630542
116,pollito,pollitos,plur,2,default,0.0011582211591303349,singular,singular,es,s,[MASK] pollitos [MASK],"[CLS] , [MASK] , pol , ##litos , [MASK] , [SEP]",non_morphemic,6.760869934361447
117,pollito,pollitos,plur,2,default,0.011718766763806343,plural,plural,son,s,[MASK] pollitos [MASK],"[CLS] , [MASK] , pol , ##litos , [MASK] , [SEP]",non_morphemic,4.446563725301002
118,pollito,pollito##s,plur,3,artificial,0.0015780833782628179,singular,singular,es,s,[MASK] pollito##s [MASK],"[CLS] , [MASK] , pol , ##lito , ##s , [MASK] , [SEP]",non_morphemic,6.45154422001845
119,pollito,pollito##s,plur,3,artificial,0.02030588872730732,plural,plural,son,s,[MASK] pollito##s [MASK],"[CLS] , [MASK] , pol , ##lito , ##s , [MASK] , [SEP]",non_morphemic,3.8968443499119094
120,indefinido,indefinido,sing,2,default,0.002122484613209963,singular,singular,es,s,[MASK] indefinido [MASK],"[CLS] , [MASK] , indefin , ##ido , [MASK] , [SEP]",non_morphemic,6.155167889176091
121,indefinido,indefinido,sing,2,default,0.0001700723951216787,plural,plural,son,s,[MASK] indefinido [MASK],"[CLS] , [MASK] , indefin , ##ido , [MASK] , [SEP]",non_morphemic,8.679286357907012
122,indefinido,indefinidos,plur,2,default,0.00017036615463439375,singular,singular,es,s,[MASK] indefinidos [MASK],"[CLS] , [MASK] , indefin , ##idos , [MASK] , [SEP]",non_morphemic,8.677560586334822
123,indefinido,indefinidos,plur,2,default,0.0008244310738518834,plural,plural,son,s,[MASK] indefinidos [MASK],"[CLS] , [MASK] , indefin , ##idos , [MASK] , [SEP]",non_morphemic,7.100817016970447
124,indefinido,indefinido##s,plur,3,artificial,0.0004415387811604887,singular,singular,es,s,[MASK] indefinido##s [MASK],"[CLS] , [MASK] , indefin , ##ido , ##s , [MASK] , [SEP]",non_morphemic,7.725244702229821
125,indefinido,indefinido##s,plur,3,artificial,0.0031978555489331484,plural,plural,son,s,[MASK] indefinido##s [MASK],"[CLS] , [MASK] , indefin , ##ido , ##s , [MASK] , [SEP]",non_morphemic,5.745274834779668
126,retoque,retoque,sing,2,default,0.004796199034899473,singular,singular,es,s,[MASK] retoque [MASK],"[CLS] , [MASK] , reto , ##que , [MASK] , [SEP]",non_morphemic,5.339931542490431
127,retoque,retoque,sing,2,default,0.0006897429120726883,plural,plural,son,s,[MASK] retoque [MASK],"[CLS] , [MASK] , reto , ##que , [MASK] , [SEP]",non_morphemic,7.279191621001319
128,retoque,retoques,plur,2,default,0.0005765624810010195,singular,singular,es,s,[MASK] retoques [MASK],"[CLS] , [MASK] , reto , ##ques , [MASK] , [SEP]",non_morphemic,7.458426844247489
129,retoque,retoques,plur,2,default,0.006290840916335583,plural,plural,son,s,[MASK] retoques [MASK],"[CLS] , [MASK] , reto , ##ques , [MASK] , [SEP]",non_morphemic,5.068660526214283
130,retoque,retoque##s,plur,3,artificial,0.0004681830178014934,singular,singular,es,s,[MASK] retoque##s [MASK],"[CLS] , [MASK] , reto , ##que , ##s , [MASK] , [SEP]",non_morphemic,7.6666512748136935
131,retoque,retoque##s,plur,3,artificial,0.004237400833517313,plural,plural,son,s,[MASK] retoque##s [MASK],"[CLS] , [MASK] , reto , ##que , ##s , [MASK] , [SEP]",non_morphemic,5.463805208669211
132,retroceso,retroceso,sing,2,default,0.0049343775026500225,singular,singular,es,s,[MASK] retroceso [MASK],"[CLS] , [MASK] , retroce , ##so , [MASK] , [SEP]",non_morphemic,5.3115287533335644
133,retroceso,retroceso,sing,2,default,0.0007139414665289223,plural,plural,son,s,[MASK] retroceso [MASK],"[CLS] , [MASK] , retroce , ##so , [MASK] , [SEP]",non_morphemic,7.2447095786365745
134,retroceso,retrocesos,plur,2,default,0.0005618906579911709,singular,singular,es,s,[MASK] retrocesos [MASK],"[CLS] , [MASK] , retroce , ##sos , [MASK] , [SEP]",non_morphemic,7.48420328573416
