,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
195,195,cuartilla,cuartillas,plur,2,default,0.0081009333953261,plural,plural,son,s,[MASK] cuartillas [MASK],"[CLS] , [MASK] , cuar , ##tillas , [MASK] , [SEP]",non_morphemic,4.815775989951789,-1.8328042401389908,1.8328042401390063
197,197,cuartilla,cuartilla##s,plur,3,artificial,0.0106432763859629,plural,plural,son,s,[MASK] cuartilla##s [MASK],"[CLS] , [MASK] , cuar , ##tilla , ##s , [MASK] , [SEP]",non_morphemic,4.542826911458105,-2.368246533453143,2.3682465334531813
199,199,vigilia,vigilia,sing,2,default,0.0005065419245511,plural,plural,son,s,[MASK] vigilia [MASK],"[CLS] , [MASK] , vigil , ##ia , [MASK] , [SEP]",non_morphemic,7.587903464648461,2.4478580020416745,-2.4478580020417167
201,201,vigilia,vigilias,plur,2,default,0.0066161202266812,plural,plural,son,s,[MASK] vigilias [MASK],"[CLS] , [MASK] , vigil , ##ias , [MASK] , [SEP]",non_morphemic,5.018246149315635,-2.0378724225734395,2.037872422573494
203,203,vigilia,vigilia##s,plur,3,artificial,0.0038732956163585,plural,plural,son,s,[MASK] vigilia##s [MASK],"[CLS] , [MASK] , vigil , ##ia , ##s , [MASK] , [SEP]",non_morphemic,5.553649553874963,-1.0990667467094744,1.0990667467095363
205,205,vanidad,vanidad,sing,2,default,0.001648342818953,plural,plural,son,es,[MASK] vanidad [MASK],"[CLS] , [MASK] , van , ##idad , [MASK] , [SEP]",non_morphemic,6.407984847918866,2.659174409525274,-2.6591744095253316
207,207,vanidad,vanidades,plur,2,default,0.0151278255507349,plural,plural,son,es,[MASK] vanidades [MASK],"[CLS] , [MASK] , van , ##idades , [MASK] , [SEP]",non_morphemic,4.191219479240923,-2.3316817160078855,2.3316817160079064
209,209,vanidad,vanidad##es,plur,3,artificial,0.0192706454545259,plural,plural,son,es,[MASK] vanidad##es [MASK],"[CLS] , [MASK] , van , ##idad , ##es , [MASK] , [SEP]",non_morphemic,3.94917230181189,-2.533297583753612,2.533297583753634
211,211,cuita,cuita,sing,2,default,0.0002588767383713,plural,plural,son,s,[MASK] cuita [MASK],"[CLS] , [MASK] , cui , ##ta , [MASK] , [SEP]",non_morphemic,8.259158523171786,3.0054491848561193,-3.0054491848562104
213,213,cuita,cuitas,plur,2,default,0.0031474707648158,plural,plural,son,s,[MASK] cuitas [MASK],"[CLS] , [MASK] , cui , ##tas , [MASK] , [SEP]",non_morphemic,5.761156080471496,-0.574044237287807,0.5740442372878425
215,215,cuita,cuita##s,plur,3,artificial,0.0009688145364634,plural,plural,son,s,[MASK] cuita##s [MASK],"[CLS] , [MASK] , cui , ##ta , ##s , [MASK] , [SEP]",non_morphemic,6.939437361230746,0.9693798081980631,-0.9693798081981251
217,217,silva,silva,sing,2,default,0.0004649268521461,plural,plural,son,s,[MASK] silva [MASK],"[CLS] , [MASK] , sil , ##va , [MASK] , [SEP]",non_morphemic,7.673630471963547,3.074926255244769,-3.074926255244898
219,219,silva,silvas,plur,2,default,0.0059918076731264,plural,plural,son,s,[MASK] silvas [MASK],"[CLS] , [MASK] , sil , ##vas , [MASK] , [SEP]",non_morphemic,5.117362130557638,-1.56299638630506,1.5629963863050933
221,221,silva,silva##s,plur,3,artificial,0.0038113377522677,plural,plural,son,s,[MASK] silva##s [MASK],"[CLS] , [MASK] , sil , ##va , ##s , [MASK] , [SEP]",non_morphemic,5.569775035389587,-0.26630449635006936,0.2663044963500693
223,223,tentativa,tentativa,sing,2,default,0.0005378099158406,plural,plural,son,s,[MASK] tentativa [MASK],"[CLS] , [MASK] , tenta , ##tiva , [MASK] , [SEP]",non_morphemic,7.528005376514757,3.0803946856898072,-3.080394685689848
225,225,tentativa,tentativas,plur,2,default,0.006739982869476,plural,plural,son,s,[MASK] tentativas [MASK],"[CLS] , [MASK] , tenta , ##tivas , [MASK] , [SEP]",non_morphemic,4.999697895681911,-2.2658239363569255,2.265823936357015
