,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
27,retorno,retoknos,plur,3,default,0.07848281413316727,plural,son,s,Los retoknos [MASK],"[CLS] , Los , reto , ##k , ##nos , [MASK] , [SEP]",morphemic,2.544875606401967
28,retorno,retorno##s,plur,2,artificial,0.006416320335119963,singular,es,s,El retorno##s [MASK],"[CLS] , El , retorno , ##s , [MASK] , [SEP]",morphemic,5.048910482120627
29,retorno,retorno##s,plur,2,artificial,0.05054502189159393,plural,son,s,El retorno##s [MASK],"[CLS] , El , retorno , ##s , [MASK] , [SEP]",morphemic,2.984890817265241
30,planteamiento,planteamiento,sing,1,default,0.006684526801109314,singular,es,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,5.007959856107993
31,planteamiento,planteamiento,sing,1,default,8.154082752298564e-05,plural,son,s,El planteamiento [MASK],"[CLS] , El , planteamiento , [MASK] , [SEP]",morphemic,9.414406711949344
32,planteamiento,plantnamientos,plur,3,default,0.00039565222687087953,singular,es,s,Los plantnamientos [MASK],"[CLS] , Los , plan , ##tn , ##amientos , [MASK] , [SEP]",morphemic,7.834974947539016
33,planteamiento,plantnamientos,plur,3,default,0.07536141574382782,plural,son,s,Los plantnamientos [MASK],"[CLS] , Los , plan , ##tn , ##amientos , [MASK] , [SEP]",morphemic,2.585459862480887
34,planteamiento,planteamiento##s,plur,2,artificial,0.0014761704951524734,singular,es,s,El planteamiento##s [MASK],"[CLS] , El , planteamiento , ##s , [MASK] , [SEP]",morphemic,6.518304047853893
35,planteamiento,planteamiento##s,plur,2,artificial,0.0014853848842903972,plural,son,s,El planteamiento##s [MASK],"[CLS] , El , planteamiento , ##s , [MASK] , [SEP]",morphemic,6.51208135896882
36,plantilla,plantilla,sing,1,default,0.1460094302892685,singular,es,s,La plantilla [MASK],"[CLS] , La , plantilla , [MASK] , [SEP]",morphemic,1.924084068337324
37,plantilla,plantilla,sing,1,default,0.0037663918919861317,plural,son,s,La plantilla [MASK],"[CLS] , La , plantilla , [MASK] , [SEP]",morphemic,5.581637793623092
38,plantilla,pyantillas,plur,3,default,0.000423489254899323,singular,es,s,Las pyantillas [MASK],"[CLS] , Las , p , ##yan , ##tillas , [MASK] , [SEP]",morphemic,7.766982416332596
39,plantilla,pyantillas,plur,3,default,0.058060869574546814,plural,son,s,Las pyantillas [MASK],"[CLS] , Las , p , ##yan , ##tillas , [MASK] , [SEP]",morphemic,2.846263343326835
40,plantilla,plantilla##s,plur,2,artificial,0.001305083162151277,singular,es,s,La plantilla##s [MASK],"[CLS] , La , plantilla , ##s , [MASK] , [SEP]",morphemic,6.641488514451463
41,plantilla,plantilla##s,plur,2,artificial,0.010801122523844242,plural,son,s,La plantilla##s [MASK],"[CLS] , La , plantilla , ##s , [MASK] , [SEP]",morphemic,4.528105212860094
42,gesto,gesto,sing,1,default,0.030239075422286987,singular,es,s,El gesto [MASK],"[CLS] , El , gesto , [MASK] , [SEP]",morphemic,3.498620302798041
43,gesto,gesto,sing,1,default,0.001022728276439011,plural,son,s,El gesto [MASK],"[CLS] , El , gesto , [MASK] , [SEP]",morphemic,6.885281441723527
44,gesto,gesqos,plur,3,default,0.0002977499971166253,singular,es,s,Los gesqos [MASK],"[CLS] , Los , ges , ##q , ##os , [MASK] , [SEP]",morphemic,8.119256359412743
45,gesto,gesqos,plur,3,default,0.05188360437750816,plural,son,s,Los gesqos [MASK],"[CLS] , Los , ges , ##q , ##os , [MASK] , [SEP]",morphemic,2.958752446667541
46,gesto,gesto##s,plur,2,artificial,0.006257783155888319,singular,es,s,El gesto##s [MASK],"[CLS] , El , gesto , ##s , [MASK] , [SEP]",morphemic,5.073929285040763
47,gesto,gesto##s,plur,2,artificial,0.016348637640476227,plural,son,s,El gesto##s [MASK],"[CLS] , El , gesto , ##s , [MASK] , [SEP]",morphemic,4.113610709852089
48,trazado,trazado,sing,1,default,0.15959572792053223,singular,es,s,El trazado [MASK],"[CLS] , El , trazado , [MASK] , [SEP]",morphemic,1.835111361739894
49,trazado,trazado,sing,1,default,0.0005977985565550625,plural,son,s,El trazado [MASK],"[CLS] , El , trazado , [MASK] , [SEP]",morphemic,7.422256722712429
50,trazado,tjazados,plur,3,default,0.0004983023391105235,singular,es,s,Los tjazados [MASK],"[CLS] , Los , t , ##ja , ##zados , [MASK] , [SEP]",morphemic,7.60430355850667
51,trazado,tjazados,plur,3,default,0.0549890473484993,plural,son,s,Los tjazados [MASK],"[CLS] , Los , t , ##ja , ##zados , [MASK] , [SEP]",morphemic,2.900621252698688
52,trazado,trazado##s,plur,2,artificial,0.003739794949069619,singular,es,s,El trazado##s [MASK],"[CLS] , El , trazado , ##s , [MASK] , [SEP]",morphemic,5.588724495510695
53,trazado,trazado##s,plur,2,artificial,0.025675036013126373,plural,son,s,El trazado##s [MASK],"[CLS] , El , trazado , ##s , [MASK] , [SEP]",morphemic,3.662236120515086
54,ciclista,ciclista,sing,1,default,0.014876858331263065,singular,es,s,El ciclista [MASK],"[CLS] , El , ciclista , [MASK] , [SEP]",morphemic,4.207948405520714
55,ciclista,ciclista,sing,1,default,0.0001716830302029848,plural,son,s,El ciclista [MASK],"[CLS] , El , ciclista , [MASK] , [SEP]",morphemic,8.669860628940675
56,ciclista,ciclistfs,plur,5,default,0.00101888133212924,singular,es,s,Los ciclistfs [MASK],"[CLS] , Los , cic , ##lis , ##t , ##f , ##s , [MASK] , [SEP]",morphemic,6.889049986744536
57,ciclista,ciclistfs,plur,5,default,0.22127027809619904,plural,son,s,Los ciclistfs [MASK],"[CLS] , Los , cic , ##lis , ##t , ##f , ##s , [MASK] , [SEP]",morphemic,1.5083703468817249
58,ciclista,ciclista##s,plur,2,artificial,0.0006848264602012932,singular,es,s,El ciclista##s [MASK],"[CLS] , El , ciclista , ##s , [MASK] , [SEP]",morphemic,7.286345094570585
59,ciclista,ciclista##s,plur,2,artificial,0.01980721391737461,plural,son,s,El ciclista##s [MASK],"[CLS] , El , ciclista , ##s , [MASK] , [SEP]",morphemic,3.9217090683757356
60,coincidencia,coincidencia,sing,1,default,0.08441625535488129,singular,es,s,La coincidencia [MASK],"[CLS] , La , coincidencia , [MASK] , [SEP]",morphemic,2.471995296933546
61,coincidencia,coincidencia,sing,1,default,0.000648333749268204,plural,son,s,La coincidencia [MASK],"[CLS] , La , coincidencia , [MASK] , [SEP]",morphemic,7.341104949035255
62,coincidencia,cwincidencias,plur,5,default,0.0016102766385301948,singular,es,s,Las cwincidencias [MASK],"[CLS] , Las , c , ##w , ##inc , ##idencia , ##s , [MASK] , [SEP]",morphemic,6.431349289571986
63,coincidencia,cwincidencias,plur,5,default,0.029840052127838135,plural,son,s,Las cwincidencias [MASK],"[CLS] , Las , c , ##w , ##inc , ##idencia , ##s , [MASK] , [SEP]",morphemic,3.511903756736637
64,coincidencia,coincidencia##s,plur,2,artificial,0.010261015966534615,singular,es,s,La coincidencia##s [MASK],"[CLS] , La , coincidencia , ##s , [MASK] , [SEP]",morphemic,4.579403422062479
65,coincidencia,coincidencia##s,plur,2,artificial,0.05371621996164322,plural,son,s,La coincidencia##s [MASK],"[CLS] , La , coincidencia , ##s , [MASK] , [SEP]",morphemic,2.9240402753716888
66,arteria,arteria,sing,1,default,0.0931757465004921,singular,es,s,La arteria [MASK],"[CLS] , La , arteria , [MASK] , [SEP]",morphemic,2.373267821837886
67,arteria,arteria,sing,1,default,0.00043696773354895413,plural,son,s,La arteria [MASK],"[CLS] , La , arteria , [MASK] , [SEP]",morphemic,7.735651201867132
68,arteria,artekias,plur,3,default,0.001753798103891313,singular,es,s,Las artekias [MASK],"[CLS] , Las , arte , ##k , ##ias , [MASK] , [SEP]",morphemic,6.3459714977626565
69,arteria,artekias,plur,3,default,0.16294346749782562,plural,son,s,Las artekias [MASK],"[CLS] , Las , arte , ##k , ##ias , [MASK] , [SEP]",morphemic,1.8143519634998466
70,arteria,arteria##s,plur,2,artificial,0.0008786736871115863,singular,es,s,La arteria##s [MASK],"[CLS] , La , arteria , ##s , [MASK] , [SEP]",morphemic,7.037096961157702
71,arteria,arteria##s,plur,2,artificial,0.048680879175662994,plural,son,s,La arteria##s [MASK],"[CLS] , La , arteria , ##s , [MASK] , [SEP]",morphemic,3.0224689507205755
72,curioso,curioso,sing,1,default,0.01892274245619774,singular,es,s,El curioso [MASK],"[CLS] , El , curioso , [MASK] , [SEP]",morphemic,3.967390775746498
73,curioso,curioso,sing,1,default,0.00030319002689793706,plural,son,s,El curioso [MASK],"[CLS] , El , curioso , [MASK] , [SEP]",morphemic,8.101150797553869
74,curioso,curiosqs,plur,3,default,0.0005225163185968995,singular,es,s,Los curiosqs [MASK],"[CLS] , Los , curios , ##q , ##s , [MASK] , [SEP]",morphemic,7.556854342848609
75,curioso,curiosqs,plur,3,default,0.018036527559161186,plural,son,s,Los curiosqs [MASK],"[CLS] , Los , curios , ##q , ##s , [MASK] , [SEP]",morphemic,4.0153562685094775
76,curioso,curioso##s,plur,2,artificial,0.017277270555496216,singular,es,s,El curioso##s [MASK],"[CLS] , El , curioso , ##s , [MASK] , [SEP]",morphemic,4.058363482046608
77,curioso,curioso##s,plur,2,artificial,0.0053322999738156796,plural,son,s,El curioso##s [MASK],"[CLS] , El , curioso , ##s , [MASK] , [SEP]",morphemic,5.233972619092933
78,legítima,legítima,sing,1,default,0.02625460736453533,singular,es,s,La legítima [MASK],"[CLS] , La , legítima , [MASK] , [SEP]",morphemic,3.6399137866971354
79,legítima,legítima,sing,1,default,0.0006134225986897945,plural,son,s,La legítima [MASK],"[CLS] , La , legítima , [MASK] , [SEP]",morphemic,7.39645646527741
80,legítima,legítimas,plur,2,default,0.000498893903568387,singular,es,s,Las legítimas [MASK],"[CLS] , Las , legítima , ##s , [MASK] , [SEP]",morphemic,7.603117102918612
81,legítima,legítimas,plur,2,default,0.07387790828943253,plural,son,s,Las legítimas [MASK],"[CLS] , Las , legítima , ##s , [MASK] , [SEP]",morphemic,2.6053414363227083
82,legítima,legítima##s,plur,2,artificial,0.01605149358510971,singular,es,s,La legítima##s [MASK],"[CLS] , La , legítima , ##s , [MASK] , [SEP]",morphemic,4.1319533754734765
83,legítima,legítima##s,plur,2,artificial,0.04116985946893692,plural,son,s,La legítima##s [MASK],"[CLS] , La , legítima , ##s , [MASK] , [SEP]",morphemic,3.1900488566397924
84,cancillere,cancillere,sing,2,default,0.12934646010398865,singular,es,s,El cancillere [MASK],"[CLS] , El , canciller , ##e , [MASK] , [SEP]",morphemic,2.0452607375279115
85,cancillere,cancillere,sing,2,default,0.007878117263317108,plural,son,s,El cancillere [MASK],"[CLS] , El , canciller , ##e , [MASK] , [SEP]",morphemic,4.843666329634694
86,cancillere,cantilleres,plur,3,default,0.0006376595702022314,singular,es,s,Los cantilleres [MASK],"[CLS] , Los , can , ##till , ##eres , [MASK] , [SEP]",morphemic,7.357706006053484
87,cancillere,cantilleres,plur,3,default,0.09135149419307709,plural,son,s,Los cantilleres [MASK],"[CLS] , Los , can , ##till , ##eres , [MASK] , [SEP]",morphemic,2.3930406394984924
88,cancillere,cancillere##s,plur,3,artificial,0.015694864094257355,singular,es,s,El cancillere##s [MASK],"[CLS] , El , canciller , ##e , ##s , [MASK] , [SEP]",morphemic,4.154421747900139
89,cancillere,cancillere##s,plur,3,artificial,0.05470595508813858,plural,son,s,El cancillere##s [MASK],"[CLS] , El , canciller , ##e , ##s , [MASK] , [SEP]",morphemic,2.905782707323811
90,árbitro,árbitro,sing,1,default,0.1128123551607132,singular,es,s,El árbitro [MASK],"[CLS] , El , árbitro , [MASK] , [SEP]",morphemic,2.1820294143497163
91,árbitro,árbitro,sing,1,default,0.0015350345056504011,plural,son,s,El árbitro [MASK],"[CLS] , El , árbitro , [MASK] , [SEP]",morphemic,6.479202418944555
92,árbitro,árbitros,plur,2,default,0.0002159144205506891,singular,es,s,Los árbitros [MASK],"[CLS] , Los , árbitro , ##s , [MASK] , [SEP]",morphemic,8.440628429942741
93,árbitro,árbitros,plur,2,default,0.18793682754039764,plural,son,s,Los árbitros [MASK],"[CLS] , Los , árbitro , ##s , [MASK] , [SEP]",morphemic,1.6716493963420977
94,árbitro,árbitro##s,plur,2,artificial,0.0009315572679042816,singular,es,s,El árbitro##s [MASK],"[CLS] , El , árbitro , ##s , [MASK] , [SEP]",morphemic,6.978652890580752
95,árbitro,árbitro##s,plur,2,artificial,0.24373981356620789,plural,son,s,El árbitro##s [MASK],"[CLS] , El , árbitro , ##s , [MASK] , [SEP]",morphemic,1.4116539604750364
96,bloqueo,bloqueo,sing,1,default,0.06941739469766617,singular,es,s,El bloqueo [MASK],"[CLS] , El , bloqueo , [MASK] , [SEP]",morphemic,2.6676177988167624
97,bloqueo,bloqueo,sing,1,default,0.0010933545418083668,plural,son,s,El bloqueo [MASK],"[CLS] , El , bloqueo , [MASK] , [SEP]",morphemic,6.818504747446876
98,bloqueo,bsoqueos,plur,4,default,0.0006197328330017626,singular,es,s,Los bsoqueos [MASK],"[CLS] , Los , b , ##so , ##queo , ##s , [MASK] , [SEP]",morphemic,7.386222087308762
99,bloqueo,bsoqueos,plur,4,default,0.061273712664842606,plural,son,s,Los bsoqueos [MASK],"[CLS] , Los , b , ##so , ##queo , ##s , [MASK] , [SEP]",morphemic,2.7924043589303515
100,bloqueo,bloqueo##s,plur,2,artificial,0.010704271495342255,singular,es,s,El bloqueo##s [MASK],"[CLS] , El , bloqueo , ##s , [MASK] , [SEP]",morphemic,4.537112412003288
101,bloqueo,bloqueo##s,plur,2,artificial,0.037981852889060974,plural,son,s,El bloqueo##s [MASK],"[CLS] , El , bloqueo , ##s , [MASK] , [SEP]",morphemic,3.2706467888727473
102,arancele,arancele,sing,2,default,0.061268970370292664,singular,es,s,El arancele [MASK],"[CLS] , El , arancel , ##e , [MASK] , [SEP]",morphemic,2.7924817571794325
103,arancele,arancele,sing,2,default,0.002829198259860277,plural,son,s,El arancele [MASK],"[CLS] , El , arancel , ##e , [MASK] , [SEP]",morphemic,5.86776190786686
104,arancele,arancelec,plur,2,default,0.005073052365332842,singular,es,s,Los arancelec [MASK],"[CLS] , Los , arancel , ##ec , [MASK] , [SEP]",morphemic,5.283812598090749
105,arancele,arancelec,plur,2,default,0.06536196917295456,plural,son,s,Los arancelec [MASK],"[CLS] , Los , arancel , ##ec , [MASK] , [SEP]",morphemic,2.727814700779052
106,arancele,arancele##s,plur,3,artificial,0.01648375205695629,singular,es,s,El arancele##s [MASK],"[CLS] , El , arancel , ##e , ##s , [MASK] , [SEP]",morphemic,4.105380107055459
107,arancele,arancele##s,plur,3,artificial,0.062413543462753296,plural,son,s,El arancele##s [MASK],"[CLS] , El , arancel , ##e , ##s , [MASK] , [SEP]",morphemic,2.77397298448478
108,televisore,televisore,sing,2,default,0.005764613393694162,singular,es,s,El televisore [MASK],"[CLS] , El , televisor , ##e , [MASK] , [SEP]",morphemic,5.1560171884475
109,televisore,televisore,sing,2,default,0.000423495308496058,plural,son,s,El televisore [MASK],"[CLS] , El , televisor , ##e , [MASK] , [SEP]",morphemic,7.766968121864912
110,televisore,televisxres,plur,3,default,0.0006230222061276436,singular,es,s,Los televisxres [MASK],"[CLS] , Los , televis , ##x , ##res , [MASK] , [SEP]",morphemic,7.380928395947452
111,televisore,televisxres,plur,3,default,0.06977793574333191,plural,son,s,Los televisxres [MASK],"[CLS] , Los , televis , ##x , ##res , [MASK] , [SEP]",morphemic,2.662437426015161
112,televisore,televisore##s,plur,3,artificial,0.004860259592533112,singular,es,s,El televisore##s [MASK],"[CLS] , El , televisor , ##e , ##s , [MASK] , [SEP]",morphemic,5.326663428394753
113,televisore,televisore##s,plur,3,artificial,0.008932998403906822,plural,son,s,El televisore##s [MASK],"[CLS] , El , televisor , ##e , ##s , [MASK] , [SEP]",morphemic,4.718003172936265
114,suscrito,suscrito,sing,1,default,0.009252961724996567,singular,es,s,El suscrito [MASK],"[CLS] , El , suscrito , [MASK] , [SEP]",morphemic,4.682811592220442
115,suscrito,suscrito,sing,1,default,0.001302127493545413,plural,son,s,El suscrito [MASK],"[CLS] , El , suscrito , [MASK] , [SEP]",morphemic,6.643755818679897
116,suscrito,suscnitos,plur,4,default,3.1638177460990846e-05,singular,es,s,Los suscnitos [MASK],"[CLS] , Los , sus , ##c , ##ni , ##tos , [MASK] , [SEP]",morphemic,10.361146019094608
117,suscrito,suscnitos,plur,4,default,0.036047011613845825,plural,son,s,Los suscnitos [MASK],"[CLS] , Los , sus , ##c , ##ni , ##tos , [MASK] , [SEP]",morphemic,3.3229313142809445
118,suscrito,suscrito##s,plur,2,artificial,0.0021394300274550915,singular,es,s,El suscrito##s [MASK],"[CLS] , El , suscrito , ##s , [MASK] , [SEP]",morphemic,6.147215827734494
119,suscrito,suscrito##s,plur,2,artificial,0.016520673409104347,plural,son,s,El suscrito##s [MASK],"[CLS] , El , suscrito , ##s , [MASK] , [SEP]",morphemic,4.103142748457129
120,cordillera,cordillera,sing,1,default,0.037368983030319214,singular,es,s,La cordillera [MASK],"[CLS] , La , cordillera , [MASK] , [SEP]",morphemic,3.2869142493867702
121,cordillera,cordillera,sing,1,default,0.0013186702271923423,plural,son,s,La cordillera [MASK],"[CLS] , La , cordillera , [MASK] , [SEP]",morphemic,6.631131453798122
122,cordillera,cordillerls,plur,4,default,0.0004027973336633295,singular,es,s,Las cordillerls [MASK],"[CLS] , Las , cor , ##dill , ##er , ##ls , [MASK] , [SEP]",morphemic,7.817077016646916
123,cordillera,cordillerls,plur,4,default,0.018243184313178062,plural,son,s,Las cordillerls [MASK],"[CLS] , Las , cor , ##dill , ##er , ##ls , [MASK] , [SEP]",morphemic,4.003963730999659
124,cordillera,cordillera##s,plur,2,artificial,0.00028849925729446113,singular,es,s,La cordillera##s [MASK],"[CLS] , La , cordillera , ##s , [MASK] , [SEP]",morphemic,8.15081804638872
125,cordillera,cordillera##s,plur,2,artificial,0.02064603380858898,plural,son,s,La cordillera##s [MASK],"[CLS] , La , cordillera , ##s , [MASK] , [SEP]",morphemic,3.8802320454030754
126,naranja,naranja,sing,1,default,0.01764421910047531,singular,es,s,La naranja [MASK],"[CLS] , La , naranja , [MASK] , [SEP]",morphemic,4.037347078970517
127,naranja,naranja,sing,1,default,0.00026286058709956706,plural,son,s,La naranja [MASK],"[CLS] , La , naranja , [MASK] , [SEP]",morphemic,8.243886753406223
128,naranja,naraqjas,plur,4,default,0.0002636128629092127,singular,es,s,Las naraqjas [MASK],"[CLS] , Las , nar , ##a , ##q , ##jas , [MASK] , [SEP]",morphemic,8.24102895945054
129,naranja,naraqjas,plur,4,default,0.017199238762259483,plural,son,s,Las naraqjas [MASK],"[CLS] , Las , nar , ##a , ##q , ##jas , [MASK] , [SEP]",morphemic,4.062890154150314
130,naranja,naranja##s,plur,2,artificial,0.003322918200865388,singular,es,s,La naranja##s [MASK],"[CLS] , La , naranja , ##s , [MASK] , [SEP]",morphemic,5.706911905962799
131,naranja,naranja##s,plur,2,artificial,0.0203976072371006,plural,son,s,La naranja##s [MASK],"[CLS] , La , naranja , ##s , [MASK] , [SEP]",morphemic,3.8923376773102363
132,consumo,consumo,sing,1,default,0.005436649080365896,singular,es,s,El consumo [MASK],"[CLS] , El , consumo , [MASK] , [SEP]",morphemic,5.214592385780515
133,consumo,consumo,sing,1,default,4.856738087255508e-05,plural,son,s,El consumo [MASK],"[CLS] , El , consumo , [MASK] , [SEP]",morphemic,9.932558427858739
134,consumo,consueos,plur,2,default,0.00045310991117730737,singular,es,s,Los consueos [MASK],"[CLS] , Los , consue , ##os , [MASK] , [SEP]",morphemic,7.699375832380545
135,consumo,consueos,plur,2,default,0.08096152544021606,plural,son,s,Los consueos [MASK],"[CLS] , Los , consue , ##os , [MASK] , [SEP]",morphemic,2.513781231720586
136,consumo,consumo##s,plur,2,artificial,0.00476865004748106,singular,es,s,El consumo##s [MASK],"[CLS] , El , consumo , ##s , [MASK] , [SEP]",morphemic,5.345692023050291
137,consumo,consumo##s,plur,2,artificial,0.026153521612286568,plural,son,s,El consumo##s [MASK],"[CLS] , El , consumo , ##s , [MASK] , [SEP]",morphemic,3.6437714278524425
138,décima,décima,sing,1,default,0.02561105787754059,singular,es,s,La décima [MASK],"[CLS] , La , décima , [MASK] , [SEP]",morphemic,3.66473107241802
139,décima,décima,sing,1,default,0.0005095681408420205,plural,son,s,La décima [MASK],"[CLS] , La , décima , [MASK] , [SEP]",morphemic,7.581946973631568
140,décima,décisas,plur,3,default,0.0008372247102670372,singular,es,s,Las décisas [MASK],"[CLS] , Las , déc , ##isa , ##s , [MASK] , [SEP]",morphemic,7.085418052458867
141,décima,décisas,plur,3,default,0.06565786153078079,plural,son,s,Las décisas [MASK],"[CLS] , Las , déc , ##isa , ##s , [MASK] , [SEP]",morphemic,2.723297936266651
142,décima,décima##s,plur,2,artificial,0.004015455953776836,singular,es,s,La décima##s [MASK],"[CLS] , La , décima , ##s , [MASK] , [SEP]",morphemic,5.517604375446637
143,décima,décima##s,plur,2,artificial,0.06391075998544693,plural,son,s,La décima##s [MASK],"[CLS] , La , décima , ##s , [MASK] , [SEP]",morphemic,2.7502675438956268
144,funerale,funerale,sing,2,default,0.0037607799749821424,singular,es,s,El funerale [MASK],"[CLS] , El , funeral , ##e , [MASK] , [SEP]",morphemic,5.583128902938243
145,funerale,funerale,sing,2,default,0.00017714167188387364,plural,son,s,El funerale [MASK],"[CLS] , El , funeral , ##e , [MASK] , [SEP]",morphemic,8.638560739421022
146,funerale,funeralqs,plur,3,default,0.0008236591820605099,singular,es,s,Los funeralqs [MASK],"[CLS] , Los , funeral , ##q , ##s , [MASK] , [SEP]",morphemic,7.101753727620904
147,funerale,funeralqs,plur,3,default,0.05347348749637604,plural,son,s,Los funeralqs [MASK],"[CLS] , Los , funeral , ##q , ##s , [MASK] , [SEP]",morphemic,2.92856930872642
148,funerale,funerale##s,plur,3,artificial,0.017106380313634872,singular,es,s,El funerale##s [MASK],"[CLS] , El , funeral , ##e , ##s , [MASK] , [SEP]",morphemic,4.068303767308218
149,funerale,funerale##s,plur,3,artificial,0.010707011446356773,plural,son,s,El funerale##s [MASK],"[CLS] , El , funeral , ##e , ##s , [MASK] , [SEP]",morphemic,4.536856476752987
150,peruano,peruano,sing,1,default,0.027411099523305893,singular,es,s,El peruano [MASK],"[CLS] , El , peruano , [MASK] , [SEP]",morphemic,3.5968072555243062
151,peruano,peruano,sing,1,default,0.0002798197674565017,plural,son,s,El peruano [MASK],"[CLS] , El , peruano , [MASK] , [SEP]",morphemic,8.181364849706219
152,peruano,peruanoo,plur,2,default,0.0016557886265218258,singular,es,s,Los peruanoo [MASK],"[CLS] , Los , peruano , ##o , [MASK] , [SEP]",morphemic,6.403477872155109
