,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
14,gestore,gestobes,plur,2,default,9.826198947848752e-06,singular,grande,s,[MASK] gestobes [MASK],"[CLS] , [MASK] , gesto , ##bes , [MASK] , [SEP]",morphemic,11.530458377338649
15,gestore,gestobes,plur,2,default,0.0007007024250924587,plural,grandes,s,[MASK] gestobes [MASK],"[CLS] , [MASK] , gesto , ##bes , [MASK] , [SEP]",morphemic,7.2634272616369335
16,gestore,gestore##s,plur,3,artificial,2.4710177513043163e-06,singular,grande,s,[MASK] gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,12.910880447129166
17,gestore,gestore##s,plur,3,artificial,1.844476287260477e-06,plural,grandes,s,[MASK] gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,13.203315175909653
18,monopolio,monopolio,sing,1,default,2.2116755644674413e-05,singular,grande,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,10.71917506274209
19,monopolio,monopolio,sing,1,default,5.452865934785223e-06,plural,grandes,s,[MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,12.119369227911205
20,monopolio,mynopolios,plur,4,default,7.693417501286604e-06,singular,grande,s,[MASK] mynopolios [MASK],"[CLS] , [MASK] , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,11.775145464677122
21,monopolio,mynopolios,plur,4,default,0.0006910015945322812,plural,grandes,s,[MASK] mynopolios [MASK],"[CLS] , [MASK] , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,7.277368426627224
22,monopolio,monopolio##s,plur,2,artificial,1.549986734517006e-07,singular,grande,s,[MASK] monopolio##s [MASK],"[CLS] , El , monopolio , ##s , [MASK] , [SEP]",morphemic,15.679849278439912
23,monopolio,monopolio##s,plur,2,artificial,7.66564789955737e-06,plural,grandes,s,[MASK] monopolio##s [MASK],"[CLS] , El , monopolio , ##s , [MASK] , [SEP]",morphemic,11.778761522199348
24,retorno,retorno,sing,1,default,2.3378690457320772e-05,singular,grande,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,10.663685614724251
25,retorno,retorno,sing,1,default,3.9716355786367785e-06,plural,grandes,s,[MASK] retorno [MASK],"[CLS] , [MASK] , retorno , [MASK] , [SEP]",morphemic,12.436332563564235
26,retorno,retoknos,plur,3,default,2.4165987269952893e-05,singular,grande,s,[MASK] retoknos [MASK],"[CLS] , [MASK] , reto , ##k , ##nos , [MASK] , [SEP]",morphemic,10.630564398134398
27,retorno,retoknos,plur,3,default,4.37498492829036e-05,plural,grandes,s,[MASK] retoknos [MASK],"[CLS] , [MASK] , reto , ##k , ##nos , [MASK] , [SEP]",morphemic,10.037022390128788
28,retorno,retorno##s,plur,2,artificial,5.73942088522017e-06,singular,grande,s,[MASK] retorno##s [MASK],"[CLS] , El , retorno , ##s , [MASK] , [SEP]",morphemic,12.068152243799272
29,retorno,retorno##s,plur,2,artificial,0.00013061004574410617,plural,grandes,s,[MASK] retorno##s [MASK],"[CLS] , El , retorno , ##s , [MASK] , [SEP]",morphemic,8.943294424140573
30,planteamiento,planteamiento,sing,1,default,3.249371275160229e-06,singular,grande,s,[MASK] planteamiento [MASK],"[CLS] , [MASK] , planteamiento , [MASK] , [SEP]",morphemic,12.63704903413408
31,planteamiento,planteamiento,sing,1,default,2.281887873323285e-06,plural,grandes,s,[MASK] planteamiento [MASK],"[CLS] , [MASK] , planteamiento , [MASK] , [SEP]",morphemic,12.990507442997437
32,planteamiento,plantnamientos,plur,3,default,1.3160513390175765e-06,singular,grande,s,[MASK] plantnamientos [MASK],"[CLS] , [MASK] , plan , ##tn , ##amientos , [MASK] , [SEP]",morphemic,13.540874714410542
33,planteamiento,plantnamientos,plur,3,default,0.0006991380359977484,plural,grandes,s,[MASK] plantnamientos [MASK],"[CLS] , [MASK] , plan , ##tn , ##amientos , [MASK] , [SEP]",morphemic,7.2656623588347315
34,planteamiento,planteamiento##s,plur,2,artificial,1.5164539846068692e-08,singular,grande,s,[MASK] planteamiento##s [MASK],"[CLS] , El , planteamiento , ##s , [MASK] , [SEP]",morphemic,18.00430603942029
35,planteamiento,planteamiento##s,plur,2,artificial,2.2217140212887898e-05,plural,grandes,s,[MASK] planteamiento##s [MASK],"[CLS] , El , planteamiento , ##s , [MASK] , [SEP]",morphemic,10.714646485326144
36,plantilla,plantilla,sing,1,default,1.276875536859734e-05,singular,grande,s,[MASK] plantilla [MASK],"[CLS] , [MASK] , plantilla , [MASK] , [SEP]",morphemic,11.268509357932416
37,plantilla,plantilla,sing,1,default,4.761167474498507e-06,plural,grandes,s,[MASK] plantilla [MASK],"[CLS] , [MASK] , plantilla , [MASK] , [SEP]",morphemic,12.255017652042376
38,plantilla,pyantillas,plur,3,default,8.448767403024249e-06,singular,grande,s,[MASK] pyantillas [MASK],"[CLS] , [MASK] , p , ##yan , ##tillas , [MASK] , [SEP]",morphemic,11.681489996699762
39,plantilla,pyantillas,plur,3,default,0.00057891447795555,plural,grandes,s,[MASK] pyantillas [MASK],"[CLS] , [MASK] , p , ##yan , ##tillas , [MASK] , [SEP]",morphemic,7.454355797768052
40,plantilla,plantilla##s,plur,2,artificial,6.9942920788435e-08,singular,grande,s,[MASK] plantilla##s [MASK],"[CLS] , La , plantilla , ##s , [MASK] , [SEP]",morphemic,16.475586344838653
41,plantilla,plantilla##s,plur,2,artificial,6.301329449343029e-06,plural,grandes,s,[MASK] plantilla##s [MASK],"[CLS] , La , plantilla , ##s , [MASK] , [SEP]",morphemic,11.974749923123914
42,gesto,gesto,sing,1,default,4.593555422616191e-05,singular,grande,s,[MASK] gesto [MASK],"[CLS] , [MASK] , gesto , [MASK] , [SEP]",morphemic,9.98827113886981
43,gesto,gesto,sing,1,default,2.169909294025274e-06,plural,grandes,s,[MASK] gesto [MASK],"[CLS] , [MASK] , gesto , [MASK] , [SEP]",morphemic,13.040825191273903
44,gesto,gesqos,plur,3,default,8.439978046226315e-06,singular,grande,s,[MASK] gesqos [MASK],"[CLS] , [MASK] , ges , ##q , ##os , [MASK] , [SEP]",morphemic,11.68253085051781
45,gesto,gesqos,plur,3,default,0.00031086927629075944,plural,grandes,s,[MASK] gesqos [MASK],"[CLS] , [MASK] , ges , ##q , ##os , [MASK] , [SEP]",morphemic,8.076138067620143
46,gesto,gesto##s,plur,2,artificial,5.420727688942861e-07,singular,grande,s,[MASK] gesto##s [MASK],"[CLS] , El , gesto , ##s , [MASK] , [SEP]",morphemic,14.427865584566268
47,gesto,gesto##s,plur,2,artificial,5.021225297241472e-05,plural,grandes,s,[MASK] gesto##s [MASK],"[CLS] , El , gesto , ##s , [MASK] , [SEP]",morphemic,9.899251477934197
48,trazado,trazado,sing,1,default,8.052689736359753e-06,singular,grande,s,[MASK] trazado [MASK],"[CLS] , [MASK] , trazado , [MASK] , [SEP]",morphemic,11.729504393602037
49,trazado,trazado,sing,1,default,4.9688360377331264e-06,plural,grandes,s,[MASK] trazado [MASK],"[CLS] , [MASK] , trazado , [MASK] , [SEP]",morphemic,12.212324942923496
50,trazado,tjazados,plur,3,default,1.2316721949900966e-05,singular,grande,s,[MASK] tjazados [MASK],"[CLS] , [MASK] , t , ##ja , ##zados , [MASK] , [SEP]",morphemic,11.304552710758317
51,trazado,tjazados,plur,3,default,0.00033965182956308126,plural,grandes,s,[MASK] tjazados [MASK],"[CLS] , [MASK] , t , ##ja , ##zados , [MASK] , [SEP]",morphemic,7.9875894957285425
52,trazado,trazado##s,plur,2,artificial,8.608838584223122e-07,singular,grande,s,[MASK] trazado##s [MASK],"[CLS] , El , trazado , ##s , [MASK] , [SEP]",morphemic,13.965306233112928
53,trazado,trazado##s,plur,2,artificial,5.4230687965173274e-05,plural,grandes,s,[MASK] trazado##s [MASK],"[CLS] , El , trazado , ##s , [MASK] , [SEP]",morphemic,9.8222636111292
54,ciclista,ciclista,sing,1,default,7.96062158769928e-06,singular,grande,s,[MASK] ciclista [MASK],"[CLS] , [MASK] , ciclista , [MASK] , [SEP]",morphemic,11.741003472249817
55,ciclista,ciclista,sing,1,default,3.9678494090367167e-07,plural,grandes,s,[MASK] ciclista [MASK],"[CLS] , [MASK] , ciclista , [MASK] , [SEP]",morphemic,14.739871413607498
56,ciclista,ciclistfs,plur,5,default,6.733589543728158e-06,singular,grande,s,[MASK] ciclistfs [MASK],"[CLS] , [MASK] , cic , ##lis , ##t , ##f , ##s , [MASK] , [SEP]",morphemic,11.90840219190041
57,ciclista,ciclistfs,plur,5,default,5.05687712575309e-05,plural,grandes,s,[MASK] ciclistfs [MASK],"[CLS] , [MASK] , cic , ##lis , ##t , ##f , ##s , [MASK] , [SEP]",morphemic,9.892176341021429
58,ciclista,ciclista##s,plur,2,artificial,3.9158911135928065e-07,singular,grande,s,[MASK] ciclista##s [MASK],"[CLS] , El , ciclista , ##s , [MASK] , [SEP]",morphemic,14.753052732194305
59,ciclista,ciclista##s,plur,2,artificial,3.486957211862318e-05,plural,grandes,s,[MASK] ciclista##s [MASK],"[CLS] , El , ciclista , ##s , [MASK] , [SEP]",morphemic,10.263895968111301
60,coincidencia,coincidencia,sing,1,default,0.00037156863254494965,singular,grande,s,[MASK] coincidencia [MASK],"[CLS] , [MASK] , coincidencia , [MASK] , [SEP]",morphemic,7.897776966468665
61,coincidencia,coincidencia,sing,1,default,1.3268962902657222e-05,plural,grandes,s,[MASK] coincidencia [MASK],"[CLS] , [MASK] , coincidencia , [MASK] , [SEP]",morphemic,11.23008286620428
62,coincidencia,cwincidencias,plur,5,default,3.4102802146662725e-06,singular,grande,s,[MASK] cwincidencias [MASK],"[CLS] , [MASK] , c , ##w , ##inc , ##idencia , ##s , [MASK] , [SEP]",morphemic,12.588716095656043
63,coincidencia,cwincidencias,plur,5,default,2.5332562927360414e-06,plural,grandes,s,[MASK] cwincidencias [MASK],"[CLS] , [MASK] , c , ##w , ##inc , ##idencia , ##s , [MASK] , [SEP]",morphemic,12.886005010564604
64,coincidencia,coincidencia##s,plur,2,artificial,8.120762231556e-07,singular,grande,s,[MASK] coincidencia##s [MASK],"[CLS] , La , coincidencia , ##s , [MASK] , [SEP]",morphemic,14.023671630309048
65,coincidencia,coincidencia##s,plur,2,artificial,1.1369227649993263e-05,plural,grandes,s,[MASK] coincidencia##s [MASK],"[CLS] , La , coincidencia , ##s , [MASK] , [SEP]",morphemic,11.38460018126958
66,arteria,arteria,sing,1,default,0.00010260714770993218,singular,grande,s,[MASK] arteria [MASK],"[CLS] , [MASK] , arteria , [MASK] , [SEP]",morphemic,9.184602961865341
67,arteria,arteria,sing,1,default,6.878811291244347e-06,plural,grandes,s,[MASK] arteria [MASK],"[CLS] , [MASK] , arteria , [MASK] , [SEP]",morphemic,11.887064698382177
68,arteria,artekias,plur,3,default,8.066866030276287e-06,singular,grande,s,[MASK] artekias [MASK],"[CLS] , [MASK] , arte , ##k , ##ias , [MASK] , [SEP]",morphemic,11.72774549927808
69,arteria,artekias,plur,3,default,1.2607520147867035e-05,plural,grandes,s,[MASK] artekias [MASK],"[CLS] , [MASK] , arte , ##k , ##ias , [MASK] , [SEP]",morphemic,11.281217084910983
70,arteria,arteria##s,plur,2,artificial,5.784892778137873e-07,singular,grande,s,[MASK] arteria##s [MASK],"[CLS] , La , arteria , ##s , [MASK] , [SEP]",morphemic,14.362845824946351
71,arteria,arteria##s,plur,2,artificial,0.00014863374235574156,plural,grandes,s,[MASK] arteria##s [MASK],"[CLS] , La , arteria , ##s , [MASK] , [SEP]",morphemic,8.81402538311392
72,curioso,curioso,sing,1,default,4.263310620444827e-05,singular,grande,s,[MASK] curioso [MASK],"[CLS] , [MASK] , curioso , [MASK] , [SEP]",morphemic,10.062879465557128
73,curioso,curioso,sing,1,default,4.136904863116797e-07,plural,grandes,s,[MASK] curioso [MASK],"[CLS] , [MASK] , curioso , [MASK] , [SEP]",morphemic,14.698147760331144
74,curioso,curiosqs,plur,3,default,1.417917064827634e-05,singular,grande,s,[MASK] curiosqs [MASK],"[CLS] , [MASK] , curios , ##q , ##s , [MASK] , [SEP]",morphemic,11.16373652599837
75,curioso,curiosqs,plur,3,default,0.0001488580455770716,plural,grandes,s,[MASK] curiosqs [MASK],"[CLS] , [MASK] , curios , ##q , ##s , [MASK] , [SEP]",morphemic,8.81251742038733
76,curioso,curioso##s,plur,2,artificial,1.3488948752637953e-05,singular,grande,s,[MASK] curioso##s [MASK],"[CLS] , El , curioso , ##s , [MASK] , [SEP]",morphemic,11.213639818680482
77,curioso,curioso##s,plur,2,artificial,4.9561185733182356e-05,plural,grandes,s,[MASK] curioso##s [MASK],"[CLS] , El , curioso , ##s , [MASK] , [SEP]",morphemic,9.91230257628408
78,legítima,legítima,sing,1,default,2.233307168353349e-05,singular,grande,s,[MASK] legítima [MASK],"[CLS] , [MASK] , legítima , [MASK] , [SEP]",morphemic,10.709441942972726
79,legítima,legítima,sing,1,default,2.7943295322074846e-07,plural,grandes,s,[MASK] legítima [MASK],"[CLS] , [MASK] , legítima , [MASK] , [SEP]",morphemic,15.090503454269564
80,legítima,legítimas,plur,2,default,3.1246312914845475e-07,singular,grande,s,[MASK] legítimas [MASK],"[CLS] , [MASK] , legítima , ##s , [MASK] , [SEP]",morphemic,14.978779361455882
81,legítima,legítimas,plur,2,default,1.526418054709211e-05,plural,grandes,s,[MASK] legítimas [MASK],"[CLS] , [MASK] , legítima , ##s , [MASK] , [SEP]",morphemic,11.09000161503348
82,legítima,legítima##s,plur,2,artificial,5.901340500713559e-07,singular,grande,s,[MASK] legítima##s [MASK],"[CLS] , La , legítima , ##s , [MASK] , [SEP]",morphemic,14.342916122342682
83,legítima,legítima##s,plur,2,artificial,1.3990336810820736e-05,plural,grandes,s,[MASK] legítima##s [MASK],"[CLS] , La , legítima , ##s , [MASK] , [SEP]",morphemic,11.177143694464409
84,cancillere,cancillere,sing,2,default,0.00011509762407513335,singular,grande,s,[MASK] cancillere [MASK],"[CLS] , [MASK] , canciller , ##e , [MASK] , [SEP]",morphemic,9.069729884715926
85,cancillere,cancillere,sing,2,default,1.737716593197547e-05,plural,grandes,s,[MASK] cancillere [MASK],"[CLS] , [MASK] , canciller , ##e , [MASK] , [SEP]",morphemic,10.960353516327153
86,cancillere,cantilleres,plur,3,default,1.3772272723144852e-05,singular,grande,s,[MASK] cantilleres [MASK],"[CLS] , [MASK] , can , ##till , ##eres , [MASK] , [SEP]",morphemic,11.192853209957896
87,cancillere,cantilleres,plur,3,default,0.00014263972116168588,plural,grandes,s,[MASK] cantilleres [MASK],"[CLS] , [MASK] , can , ##till , ##eres , [MASK] , [SEP]",morphemic,8.855188539250856
88,cancillere,cancillere##s,plur,3,artificial,2.7700264126906404e-06,singular,grande,s,[MASK] cancillere##s [MASK],"[CLS] , El , canciller , ##e , ##s , [MASK] , [SEP]",morphemic,12.796653702543107
89,cancillere,cancillere##s,plur,3,artificial,1.1076850569224916e-05,plural,grandes,s,[MASK] cancillere##s [MASK],"[CLS] , El , canciller , ##e , ##s , [MASK] , [SEP]",morphemic,11.410653161705095
90,árbitro,árbitro,sing,1,default,4.844828254135791e-06,singular,grande,s,[MASK] árbitro [MASK],"[CLS] , [MASK] , árbitro , [MASK] , [SEP]",morphemic,12.237598761312631
91,árbitro,árbitro,sing,1,default,7.539931061728566e-07,plural,grandes,s,[MASK] árbitro [MASK],"[CLS] , [MASK] , árbitro , [MASK] , [SEP]",morphemic,14.097882611987075
92,árbitro,árbitros,plur,2,default,3.3237367347283e-07,singular,grande,s,[MASK] árbitros [MASK],"[CLS] , [MASK] , árbitro , ##s , [MASK] , [SEP]",morphemic,14.917005978446987
93,árbitro,árbitros,plur,2,default,0.00017707544611766934,plural,grandes,s,[MASK] árbitros [MASK],"[CLS] , [MASK] , árbitro , ##s , [MASK] , [SEP]",morphemic,8.638934666956482
94,árbitro,árbitro##s,plur,2,artificial,2.005106303215598e-08,singular,grande,s,[MASK] árbitro##s [MASK],"[CLS] , El , árbitro , ##s , [MASK] , [SEP]",morphemic,17.724983665539146
95,árbitro,árbitro##s,plur,2,artificial,4.55264898846508e-06,plural,grandes,s,[MASK] árbitro##s [MASK],"[CLS] , El , árbitro , ##s , [MASK] , [SEP]",morphemic,12.29980129914428
96,bloqueo,bloqueo,sing,1,default,9.248397691408172e-05,singular,grande,s,[MASK] bloqueo [MASK],"[CLS] , [MASK] , bloqueo , [MASK] , [SEP]",morphemic,9.288475151001121
97,bloqueo,bloqueo,sing,1,default,1.2409245755407028e-05,plural,grandes,s,[MASK] bloqueo [MASK],"[CLS] , [MASK] , bloqueo , [MASK] , [SEP]",morphemic,11.297068737757776
98,bloqueo,bsoqueos,plur,4,default,2.5518147594993934e-06,singular,grande,s,[MASK] bsoqueos [MASK],"[CLS] , [MASK] , b , ##so , ##queo , ##s , [MASK] , [SEP]",morphemic,12.87870578151931
99,bloqueo,bsoqueos,plur,4,default,0.0003689320874400437,plural,grandes,s,[MASK] bsoqueos [MASK],"[CLS] , [MASK] , b , ##so , ##queo , ##s , [MASK] , [SEP]",morphemic,7.904897975740014
100,bloqueo,bloqueo##s,plur,2,artificial,1.7174738786707167e-06,singular,grande,s,[MASK] bloqueo##s [MASK],"[CLS] , El , bloqueo , ##s , [MASK] , [SEP]",morphemic,13.27465602189091
101,bloqueo,bloqueo##s,plur,2,artificial,5.3521453082794324e-05,plural,grandes,s,[MASK] bloqueo##s [MASK],"[CLS] , El , bloqueo , ##s , [MASK] , [SEP]",morphemic,9.835427992236436
102,arancele,arancele,sing,2,default,2.1973552065901458e-05,singular,grande,s,[MASK] arancele [MASK],"[CLS] , [MASK] , arancel , ##e , [MASK] , [SEP]",morphemic,10.725671006625246
103,arancele,arancele,sing,2,default,4.5749247874482535e-06,plural,grandes,s,[MASK] arancele [MASK],"[CLS] , [MASK] , arancel , ##e , [MASK] , [SEP]",morphemic,12.294920299273947
104,arancele,arancelec,plur,2,default,1.149478066508891e-05,singular,grande,s,[MASK] arancelec [MASK],"[CLS] , [MASK] , arancel , ##ec , [MASK] , [SEP]",morphemic,11.373617480828178
105,arancele,arancelec,plur,2,default,4.900007297692355e-06,plural,grandes,s,[MASK] arancelec [MASK],"[CLS] , [MASK] , arancel , ##ec , [MASK] , [SEP]",morphemic,12.226273863523831
106,arancele,arancele##s,plur,3,artificial,5.314878421813773e-07,singular,grande,s,[MASK] arancele##s [MASK],"[CLS] , El , arancel , ##e , ##s , [MASK] , [SEP]",morphemic,14.447585513967187
107,arancele,arancele##s,plur,3,artificial,1.0617375664878637e-05,plural,grandes,s,[MASK] arancele##s [MASK],"[CLS] , El , arancel , ##e , ##s , [MASK] , [SEP]",morphemic,11.453018685222784
108,televisore,televisore,sing,2,default,5.403686373028904e-05,singular,grande,s,[MASK] televisore [MASK],"[CLS] , [MASK] , televisor , ##e , [MASK] , [SEP]",morphemic,9.825844082635468
109,televisore,televisore,sing,2,default,6.678811587335076e-06,plural,grandes,s,[MASK] televisore [MASK],"[CLS] , [MASK] , televisor , ##e , [MASK] , [SEP]",morphemic,11.916570492330449
110,televisore,televisxres,plur,3,default,6.302089786913712e-06,singular,grande,s,[MASK] televisxres [MASK],"[CLS] , [MASK] , televis , ##x , ##res , [MASK] , [SEP]",morphemic,11.974629267362593
111,televisore,televisxres,plur,3,default,0.00014435929188039154,plural,grandes,s,[MASK] televisxres [MASK],"[CLS] , [MASK] , televis , ##x , ##res , [MASK] , [SEP]",morphemic,8.843205283435912
112,televisore,televisore##s,plur,3,artificial,2.081173806800507e-05,singular,grande,s,[MASK] televisore##s [MASK],"[CLS] , El , televisor , ##e , ##s , [MASK] , [SEP]",morphemic,10.779993400238851
113,televisore,televisore##s,plur,3,artificial,0.00013910018606111407,plural,grandes,s,[MASK] televisore##s [MASK],"[CLS] , El , televisor , ##e , ##s , [MASK] , [SEP]",morphemic,8.880316121428912
114,suscrito,suscrito,sing,1,default,2.669537025212776e-06,singular,grande,s,[MASK] suscrito [MASK],"[CLS] , [MASK] , suscrito , [MASK] , [SEP]",morphemic,12.833605499384138
115,suscrito,suscrito,sing,1,default,7.000843282867208e-08,plural,grandes,s,[MASK] suscrito [MASK],"[CLS] , [MASK] , suscrito , [MASK] , [SEP]",morphemic,16.474650133171828
116,suscrito,suscnitos,plur,4,default,7.010442004684592e-06,singular,grande,s,[MASK] suscnitos [MASK],"[CLS] , [MASK] , sus , ##c , ##ni , ##tos , [MASK] , [SEP]",morphemic,11.868109805455548
117,suscrito,suscnitos,plur,4,default,0.00041708999196998775,plural,grandes,s,[MASK] suscnitos [MASK],"[CLS] , [MASK] , sus , ##c , ##ni , ##tos , [MASK] , [SEP]",morphemic,7.782208551367182
118,suscrito,suscrito##s,plur,2,artificial,9.59928883048633e-08,singular,grande,s,[MASK] suscrito##s [MASK],"[CLS] , El , suscrito , ##s , [MASK] , [SEP]",morphemic,16.158991728380318
119,suscrito,suscrito##s,plur,2,artificial,9.673769909568364e-07,plural,grandes,s,[MASK] suscrito##s [MASK],"[CLS] , El , suscrito , ##s , [MASK] , [SEP]",morphemic,13.848677561255478
120,cordillera,cordillera,sing,1,default,0.0002558089327067137,singular,grande,s,[MASK] cordillera [MASK],"[CLS] , [MASK] , cordillera , [MASK] , [SEP]",morphemic,8.271079748761872
121,cordillera,cordillera,sing,1,default,2.347522968193516e-05,plural,grandes,s,[MASK] cordillera [MASK],"[CLS] , [MASK] , cordillera , [MASK] , [SEP]",morphemic,10.659564748809817
122,cordillera,cordillerls,plur,4,default,5.966714979876997e-06,singular,grande,s,[MASK] cordillerls [MASK],"[CLS] , [MASK] , cor , ##dill , ##er , ##ls , [MASK] , [SEP]",morphemic,12.029314036632368
123,cordillera,cordillerls,plur,4,default,0.00019583939865697175,plural,grandes,s,[MASK] cordillerls [MASK],"[CLS] , [MASK] , cor , ##dill , ##er , ##ls , [MASK] , [SEP]",morphemic,8.5382156292283
124,cordillera,cordillera##s,plur,2,artificial,6.07781475991942e-06,singular,grande,s,[MASK] cordillera##s [MASK],"[CLS] , La , cordillera , ##s , [MASK] , [SEP]",morphemic,12.010865341078004
125,cordillera,cordillera##s,plur,2,artificial,0.0010886513628065586,plural,grandes,s,[MASK] cordillera##s [MASK],"[CLS] , La , cordillera , ##s , [MASK] , [SEP]",morphemic,6.822815630635049
126,naranja,naranja,sing,1,default,0.00010127898713108152,singular,grande,s,[MASK] naranja [MASK],"[CLS] , [MASK] , naranja , [MASK] , [SEP]",morphemic,9.19763160029889
127,naranja,naranja,sing,1,default,4.094976247870363e-06,plural,grandes,s,[MASK] naranja [MASK],"[CLS] , [MASK] , naranja , [MASK] , [SEP]",morphemic,12.405749640951921
128,naranja,naraqjas,plur,4,default,7.675859706068877e-06,singular,grande,s,[MASK] naraqjas [MASK],"[CLS] , [MASK] , nar , ##a , ##q , ##jas , [MASK] , [SEP]",morphemic,11.777430256944044
129,naranja,naraqjas,plur,4,default,0.00015703594544902444,plural,grandes,s,[MASK] naraqjas [MASK],"[CLS] , [MASK] , nar , ##a , ##q , ##jas , [MASK] , [SEP]",morphemic,8.75903582691684
130,naranja,naranja##s,plur,2,artificial,5.446062004921259e-06,singular,grande,s,[MASK] naranja##s [MASK],"[CLS] , La , naranja , ##s , [MASK] , [SEP]",morphemic,12.120617778371486
131,naranja,naranja##s,plur,2,artificial,4.1724379116203636e-05,plural,grandes,s,[MASK] naranja##s [MASK],"[CLS] , La , naranja , ##s , [MASK] , [SEP]",morphemic,10.084424968905672
132,consumo,consumo,sing,1,default,2.9656974220415577e-05,singular,grande,s,[MASK] consumo [MASK],"[CLS] , [MASK] , consumo , [MASK] , [SEP]",morphemic,10.425813241953515
133,consumo,consumo,sing,1,default,4.870301836490398e-06,plural,grandes,s,[MASK] consumo [MASK],"[CLS] , [MASK] , consumo , [MASK] , [SEP]",morphemic,12.232354644044918
134,consumo,consueos,plur,2,default,1.1089289728261065e-05,singular,grande,s,[MASK] consueos [MASK],"[CLS] , [MASK] , consue , ##os , [MASK] , [SEP]",morphemic,11.40953080479722
135,consumo,consueos,plur,2,default,0.0005086871096864343,plural,grandes,s,[MASK] consueos [MASK],"[CLS] , [MASK] , consue , ##os , [MASK] , [SEP]",morphemic,7.583677446172683
136,consumo,consumo##s,plur,2,artificial,2.773476239781303e-07,singular,grande,s,[MASK] consumo##s [MASK],"[CLS] , El , consumo , ##s , [MASK] , [SEP]",morphemic,15.097994157353577
137,consumo,consumo##s,plur,2,artificial,2.7950663934461772e-05,plural,grandes,s,[MASK] consumo##s [MASK],"[CLS] , El , consumo , ##s , [MASK] , [SEP]",morphemic,10.485069604281726
138,décima,décima,sing,1,default,5.070030965725891e-06,singular,grande,s,[MASK] décima [MASK],"[CLS] , [MASK] , décima , [MASK] , [SEP]",morphemic,12.192163632741591
