,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
14,kilo,kdlos,plur,3,default,3.4723941553238546e-06,singular,grande,s,[MASK] kdlos [MASK],"[CLS] , [MASK] , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,12.570666243610725
15,kilo,kdlos,plur,3,default,5.052335109212436e-05,plural,grandes,s,[MASK] kdlos [MASK],"[CLS] , [MASK] , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,9.893074930692059
16,kilo,kilo##s,plur,3,artificial,2.2018970412318595e-05,singular,grande,s,[MASK] kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,10.72360618469664
17,kilo,kilo##s,plur,3,artificial,4.2306124669266865e-05,plural,grandes,s,[MASK] kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,10.070578691157658
18,bebedore,bebedore,sing,2,default,9.566789958626032e-05,singular,grande,s,[MASK] bebedore [MASK],"[CLS] , [MASK] , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,9.25462774329455
19,bebedore,bebedore,sing,2,default,3.151409327983856e-05,plural,grandes,s,[MASK] bebedore [MASK],"[CLS] , [MASK] , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,10.365075706479617
20,bebedore,bebxdores,plur,3,default,4.6033546823309734e-06,singular,grande,s,[MASK] bebxdores [MASK],"[CLS] , [MASK] , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,12.288725241496165
21,bebedore,bebxdores,plur,3,default,0.00040678141522221267,plural,grandes,s,[MASK] bebxdores [MASK],"[CLS] , [MASK] , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,7.807234580127936
22,bebedore,bebedore##s,plur,3,artificial,2.2774820536142215e-05,singular,grande,s,[MASK] bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,10.68985499471133
23,bebedore,bebedore##s,plur,3,artificial,1.7500969988759607e-05,plural,grandes,s,[MASK] bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,10.953254250641756
24,rumano,rumano,sing,2,default,6.433950602513505e-06,singular,grande,s,[MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",nonmorphemic,11.953921806747086
25,rumano,rumano,sing,2,default,2.7429852167415447e-08,plural,grandes,s,[MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",nonmorphemic,17.411633921460368
26,rumano,rumhnos,plur,3,default,2.9071641620248556e-05,singular,grande,s,[MASK] rumhnos [MASK],"[CLS] , [MASK] , rum , ##hn , ##os , [MASK] , [SEP]",nonmorphemic,10.445747373703153
27,rumano,rumhnos,plur,3,default,0.0006276688072830439,plural,grandes,s,[MASK] rumhnos [MASK],"[CLS] , [MASK] , rum , ##hn , ##os , [MASK] , [SEP]",nonmorphemic,7.3734979075460325
28,rumano,rumano##s,plur,3,artificial,3.674477056847536e-06,singular,grande,s,[MASK] rumano##s [MASK],"[CLS] , El , rum , ##ano , ##s , [MASK] , [SEP]",nonmorphemic,12.51409973288117
29,rumano,rumano##s,plur,3,artificial,1.0749405191745609e-05,plural,grandes,s,[MASK] rumano##s [MASK],"[CLS] , El , rum , ##ano , ##s , [MASK] , [SEP]",nonmorphemic,11.440660135921828
30,mandatario,mandatario,sing,2,default,2.378502358624246e-05,singular,grande,s,[MASK] mandatario [MASK],"[CLS] , [MASK] , manda , ##tario , [MASK] , [SEP]",nonmorphemic,10.646454436436946
31,mandatario,mandatario,sing,2,default,8.194848533094046e-07,plural,grandes,s,[MASK] mandatario [MASK],"[CLS] , [MASK] , manda , ##tario , [MASK] , [SEP]",nonmorphemic,14.01458992177726
32,mandatario,mandatirios,plur,3,default,2.4261384169221856e-05,singular,grande,s,[MASK] mandatirios [MASK],"[CLS] , [MASK] , manda , ##tir , ##ios , [MASK] , [SEP]",nonmorphemic,10.626624600460898
33,mandatario,mandatirios,plur,3,default,0.0017963891150429845,plural,grandes,s,[MASK] mandatirios [MASK],"[CLS] , [MASK] , manda , ##tir , ##ios , [MASK] , [SEP]",nonmorphemic,6.321976676086025
34,mandatario,mandatario##s,plur,3,artificial,4.4782841541746166e-06,singular,grande,s,[MASK] mandatario##s [MASK],"[CLS] , El , manda , ##tario , ##s , [MASK] , [SEP]",nonmorphemic,12.31627058620142
35,mandatario,mandatario##s,plur,3,artificial,2.3721162506262772e-05,plural,grandes,s,[MASK] mandatario##s [MASK],"[CLS] , El , manda , ##tario , ##s , [MASK] , [SEP]",nonmorphemic,10.649142975496774
36,negociadore,negociadore,sing,2,default,1.1041176549042575e-05,singular,grande,s,[MASK] negociadore [MASK],"[CLS] , [MASK] , negociado , ##re , [MASK] , [SEP]",nonmorphemic,11.413878951322413
37,negociadore,negociadore,sing,2,default,6.786276003367675e-07,plural,grandes,s,[MASK] negociadore [MASK],"[CLS] , [MASK] , negociado , ##re , [MASK] , [SEP]",nonmorphemic,14.20319331295541
38,negociadore,npgociadores,plur,4,default,6.832945928181289e-06,singular,grande,s,[MASK] npgociadores [MASK],"[CLS] , [MASK] , n , ##p , ##goci , ##adores , [MASK] , [SEP]",nonmorphemic,11.893754655532039
39,negociadore,npgociadores,plur,4,default,0.0003680265508592129,plural,grandes,s,[MASK] npgociadores [MASK],"[CLS] , [MASK] , n , ##p , ##goci , ##adores , [MASK] , [SEP]",nonmorphemic,7.907355473324015
40,negociadore,negociadore##s,plur,3,artificial,1.3521211030820268e-06,singular,grande,s,[MASK] negociadore##s [MASK],"[CLS] , El , negociado , ##re , ##s , [MASK] , [SEP]",nonmorphemic,13.513836011069426
41,negociadore,negociadore##s,plur,3,artificial,9.387491672896431e-07,plural,grandes,s,[MASK] negociadore##s [MASK],"[CLS] , El , negociado , ##re , ##s , [MASK] , [SEP]",nonmorphemic,13.878717520910119
42,comicio,comicio,sing,2,default,8.529652404831722e-06,singular,grande,s,[MASK] comicio [MASK],"[CLS] , [MASK] , com , ##icio , [MASK] , [SEP]",nonmorphemic,11.671961947017623
43,comicio,comicio,sing,2,default,3.307680742636876e-07,plural,grandes,s,[MASK] comicio [MASK],"[CLS] , [MASK] , com , ##icio , [MASK] , [SEP]",nonmorphemic,14.921848389144515
44,comicio,comiciob,plur,3,default,7.129296136554331e-06,singular,grande,s,[MASK] comiciob [MASK],"[CLS] , [MASK] , com , ##icio , ##b , [MASK] , [SEP]",nonmorphemic,11.8512980469869
45,comicio,comiciob,plur,3,default,1.6193337160075316e-06,plural,grandes,s,[MASK] comiciob [MASK],"[CLS] , [MASK] , com , ##icio , ##b , [MASK] , [SEP]",nonmorphemic,13.333495779736541
46,comicio,comicio##s,plur,3,artificial,1.7282671933571692e-06,singular,grande,s,[MASK] comicio##s [MASK],"[CLS] , El , com , ##icio , ##s , [MASK] , [SEP]",nonmorphemic,13.268391273750346
47,comicio,comicio##s,plur,3,artificial,6.231158749869792e-06,plural,grandes,s,[MASK] comicio##s [MASK],"[CLS] , El , com , ##icio , ##s , [MASK] , [SEP]",nonmorphemic,11.985948247296179
48,sondeo,sondeo,sing,2,default,4.3715514038922265e-05,singular,grande,s,[MASK] sondeo [MASK],"[CLS] , [MASK] , son , ##deo , [MASK] , [SEP]",nonmorphemic,10.03780750653238
49,sondeo,sondeo,sing,2,default,1.267377501790179e-05,plural,grandes,s,[MASK] sondeo [MASK],"[CLS] , [MASK] , son , ##deo , [MASK] , [SEP]",nonmorphemic,11.275975658687939
50,sondeo,sonfeos,plur,3,default,1.152145273408678e-06,singular,grande,s,[MASK] sonfeos [MASK],"[CLS] , [MASK] , son , ##feo , ##s , [MASK] , [SEP]",nonmorphemic,13.673884898251714
51,sondeo,sonfeos,plur,3,default,0.0009420587448403239,plural,grandes,s,[MASK] sonfeos [MASK],"[CLS] , [MASK] , son , ##feo , ##s , [MASK] , [SEP]",nonmorphemic,6.967442923506082
52,sondeo,sondeo##s,plur,3,artificial,3.304350002508727e-06,singular,grande,s,[MASK] sondeo##s [MASK],"[CLS] , El , son , ##deo , ##s , [MASK] , [SEP]",nonmorphemic,12.620270774953353
53,sondeo,sondeo##s,plur,3,artificial,0.00013490222045220435,plural,grandes,s,[MASK] sondeo##s [MASK],"[CLS] , El , son , ##deo , ##s , [MASK] , [SEP]",nonmorphemic,8.91096033489934
54,insulto,insulto,sing,2,default,0.00012738646182697266,singular,grande,s,[MASK] insulto [MASK],"[CLS] , [MASK] , insul , ##to , [MASK] , [SEP]",nonmorphemic,8.968285085567153
55,insulto,insulto,sing,2,default,1.8562514014774933e-06,plural,grandes,s,[MASK] insulto [MASK],"[CLS] , [MASK] , insul , ##to , [MASK] , [SEP]",nonmorphemic,13.196951479390977
56,insulto,inssltos,plur,4,default,1.4976174043113133e-06,singular,grande,s,[MASK] inssltos [MASK],"[CLS] , [MASK] , ins , ##s , ##l , ##tos , [MASK] , [SEP]",nonmorphemic,13.411635109822054
57,insulto,inssltos,plur,4,default,0.0001704495371086523,plural,grandes,s,[MASK] inssltos [MASK],"[CLS] , [MASK] , ins , ##s , ##l , ##tos , [MASK] , [SEP]",nonmorphemic,8.677071275085709
58,insulto,insulto##s,plur,3,artificial,0.00013246394519228488,singular,grande,s,[MASK] insulto##s [MASK],"[CLS] , El , insul , ##to , ##s , [MASK] , [SEP]",nonmorphemic,8.92920006132346
59,insulto,insulto##s,plur,3,artificial,6.84613041812554e-05,plural,grandes,s,[MASK] insulto##s [MASK],"[CLS] , El , insul , ##to , ##s , [MASK] , [SEP]",nonmorphemic,9.58924187477703
60,analista,analista,sing,2,default,1.5392815839732066e-05,singular,grande,s,[MASK] analista [MASK],"[CLS] , [MASK] , anal , ##ista , [MASK] , [SEP]",nonmorphemic,11.081609661304997
61,analista,analista,sing,2,default,3.434976463267958e-07,plural,grandes,s,[MASK] analista [MASK],"[CLS] , [MASK] , anal , ##ista , [MASK] , [SEP]",nonmorphemic,14.8840855773401
62,analista,analistgs,plur,3,default,7.939878742035944e-06,singular,grande,s,[MASK] analistgs [MASK],"[CLS] , [MASK] , anal , ##ist , ##gs , [MASK] , [SEP]",nonmorphemic,11.74361255460573
63,analista,analistgs,plur,3,default,3.794227814069018e-05,plural,grandes,s,[MASK] analistgs [MASK],"[CLS] , [MASK] , anal , ##ist , ##gs , [MASK] , [SEP]",nonmorphemic,10.179444549380008
64,analista,analista##s,plur,3,artificial,1.0451921070853132e-06,singular,grande,s,[MASK] analista##s [MASK],"[CLS] , El , anal , ##ista , ##s , [MASK] , [SEP]",nonmorphemic,13.771309854911596
65,analista,analista##s,plur,3,artificial,1.656602216826286e-05,plural,grandes,s,[MASK] analista##s [MASK],"[CLS] , El , anal , ##ista , ##s , [MASK] , [SEP]",nonmorphemic,11.008156817610727
66,nexo,nexo,sing,2,default,7.230147730297176e-06,singular,grande,s,[MASK] nexo [MASK],"[CLS] , [MASK] , ne , ##xo , [MASK] , [SEP]",nonmorphemic,11.837251089042852
67,nexo,nexo,sing,2,default,6.51086963898706e-07,plural,grandes,s,[MASK] nexo [MASK],"[CLS] , [MASK] , ne , ##xo , [MASK] , [SEP]",nonmorphemic,14.244622618561678
68,nexo,nexls,plur,3,default,1.1636091585387476e-05,singular,grande,s,[MASK] nexls [MASK],"[CLS] , [MASK] , ne , ##x , ##ls , [MASK] , [SEP]",nonmorphemic,11.361398946497093
69,nexo,nexls,plur,3,default,7.701393769821152e-05,plural,grandes,s,[MASK] nexls [MASK],"[CLS] , [MASK] , ne , ##x , ##ls , [MASK] , [SEP]",nonmorphemic,9.471524143423073
70,nexo,nexo##s,plur,3,artificial,7.238106718432391e-06,singular,grande,s,[MASK] nexo##s [MASK],"[CLS] , El , ne , ##xo , ##s , [MASK] , [SEP]",nonmorphemic,11.836150888743466
71,nexo,nexo##s,plur,3,artificial,1.9855615391861647e-06,plural,grandes,s,[MASK] nexo##s [MASK],"[CLS] , El , ne , ##xo , ##s , [MASK] , [SEP]",nonmorphemic,13.129608792553649
72,cautivo,cautivo,sing,2,default,5.473543569678441e-05,singular,grande,s,[MASK] cautivo [MASK],"[CLS] , [MASK] , cautiv , ##o , [MASK] , [SEP]",nonmorphemic,9.812999239326446
73,cautivo,cautivo,sing,2,default,1.146278009400703e-06,plural,grandes,s,[MASK] cautivo [MASK],"[CLS] , [MASK] , cautiv , ##o , [MASK] , [SEP]",nonmorphemic,13.678990377992099
74,cautivo,cañtivos,plur,2,default,6.113283461672836e-07,singular,grande,s,[MASK] cañtivos [MASK],"[CLS] , [MASK] , cañ , ##tivos , [MASK] , [SEP]",nonmorphemic,14.307631630682067
75,cautivo,cañtivos,plur,2,default,0.0001682027941569686,plural,grandes,s,[MASK] cañtivos [MASK],"[CLS] , [MASK] , cañ , ##tivos , [MASK] , [SEP]",nonmorphemic,8.69034019845301
76,cautivo,cautivo##s,plur,3,artificial,4.533163519226946e-05,singular,grande,s,[MASK] cautivo##s [MASK],"[CLS] , El , cautiv , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.001505420591993
77,cautivo,cautivo##s,plur,3,artificial,8.850248559610918e-05,plural,grandes,s,[MASK] cautivo##s [MASK],"[CLS] , El , cautiv , ##o , ##s , [MASK] , [SEP]",nonmorphemic,9.332479920513048
78,millare,millare,sing,2,default,0.0005410302546806633,singular,grande,s,[MASK] millare [MASK],"[CLS] , [MASK] , milla , ##re , [MASK] , [SEP]",nonmorphemic,7.522035357057313
79,millare,millare,sing,2,default,1.0526769983698614e-05,plural,grandes,s,[MASK] millare [MASK],"[CLS] , [MASK] , milla , ##re , [MASK] , [SEP]",nonmorphemic,11.461589023062178
80,millare,miluares,plur,3,default,1.6134603356476873e-05,singular,grande,s,[MASK] miluares [MASK],"[CLS] , [MASK] , mil , ##uar , ##es , [MASK] , [SEP]",nonmorphemic,11.034544315565308
81,millare,miluares,plur,3,default,0.0005369266145862639,plural,grandes,s,[MASK] miluares [MASK],"[CLS] , [MASK] , mil , ##uar , ##es , [MASK] , [SEP]",nonmorphemic,7.52964913092012
82,millare,millare##s,plur,3,artificial,5.1819075451930985e-05,singular,grande,s,[MASK] millare##s [MASK],"[CLS] , El , milla , ##re , ##s , [MASK] , [SEP]",nonmorphemic,9.86775222451917
83,millare,millare##s,plur,3,artificial,2.3636448531760834e-05,plural,grandes,s,[MASK] millare##s [MASK],"[CLS] , El , milla , ##re , ##s , [MASK] , [SEP]",nonmorphemic,10.652720608025223
84,reformista,reformista,sing,2,default,3.8463644159492105e-05,singular,grande,s,[MASK] reformista [MASK],"[CLS] , [MASK] , reform , ##ista , [MASK] , [SEP]",nonmorphemic,10.165797070355449
85,reformista,reformista,sing,2,default,7.699521802351228e-07,plural,grandes,s,[MASK] reformista [MASK],"[CLS] , [MASK] , reform , ##ista , [MASK] , [SEP]",nonmorphemic,14.076937427617938
86,reformista,reforiistas,plur,3,default,9.194795893563423e-07,singular,grande,s,[MASK] reforiistas [MASK],"[CLS] , [MASK] , refor , ##ii , ##stas , [MASK] , [SEP]",nonmorphemic,13.899457990694525
87,reformista,reforiistas,plur,3,default,0.0001361732283839956,plural,grandes,s,[MASK] reforiistas [MASK],"[CLS] , [MASK] , refor , ##ii , ##stas , [MASK] , [SEP]",nonmorphemic,8.90158274462682
88,reformista,reformista##s,plur,3,artificial,3.939007910958026e-06,singular,grande,s,[MASK] reformista##s [MASK],"[CLS] , El , reform , ##ista , ##s , [MASK] , [SEP]",nonmorphemic,12.444581665610418
89,reformista,reformista##s,plur,3,artificial,2.70550990535412e-05,plural,grandes,s,[MASK] reformista##s [MASK],"[CLS] , El , reform , ##ista , ##s , [MASK] , [SEP]",nonmorphemic,10.517635065684587
90,uruguaya,uruguaya,sing,2,default,0.00011325912055326626,singular,grande,s,[MASK] uruguaya [MASK],"[CLS] , [MASK] , uruguay , ##a , [MASK] , [SEP]",nonmorphemic,9.085832262157197
91,uruguaya,uruguaya,sing,2,default,9.403462399859563e-07,plural,grandes,s,[MASK] uruguaya [MASK],"[CLS] , [MASK] , uruguay , ##a , [MASK] , [SEP]",nonmorphemic,13.877017689092446
92,uruguaya,uruluayas,plur,4,default,1.2699580111075193e-05,singular,grande,s,[MASK] uruluayas [MASK],"[CLS] , [MASK] , ur , ##ulu , ##aya , ##s , [MASK] , [SEP]",nonmorphemic,11.273941627166357
93,uruguaya,uruluayas,plur,4,default,0.0005621472955681384,plural,grandes,s,[MASK] uruluayas [MASK],"[CLS] , [MASK] , ur , ##ulu , ##aya , ##s , [MASK] , [SEP]",nonmorphemic,7.483746650652375
94,uruguaya,uruguaya##s,plur,3,artificial,2.2127140255179256e-05,singular,grande,s,[MASK] uruguaya##s [MASK],"[CLS] , La , uruguay , ##a , ##s , [MASK] , [SEP]",nonmorphemic,10.718705637051412
95,uruguaya,uruguaya##s,plur,3,artificial,0.00020173686789348722,plural,grandes,s,[MASK] uruguaya##s [MASK],"[CLS] , La , uruguay , ##a , ##s , [MASK] , [SEP]",nonmorphemic,8.508546343919159
96,mejoría,mejoría,sing,2,default,0.00010974504402838647,singular,grande,s,[MASK] mejoría [MASK],"[CLS] , [MASK] , mejor , ##ía , [MASK] , [SEP]",nonmorphemic,9.11735066394535
97,mejoría,mejoría,sing,2,default,5.7156481489073485e-05,plural,grandes,s,[MASK] mejoría [MASK],"[CLS] , [MASK] , mejor , ##ía , [MASK] , [SEP]",nonmorphemic,9.769717762271796
98,mejoría,meborías,plur,3,default,5.868431799171958e-06,singular,grande,s,[MASK] meborías [MASK],"[CLS] , [MASK] , me , ##bor , ##ías , [MASK] , [SEP]",nonmorphemic,12.045923114983184
99,mejoría,meborías,plur,3,default,1.3031522939854767e-05,plural,grandes,s,[MASK] meborías [MASK],"[CLS] , [MASK] , me , ##bor , ##ías , [MASK] , [SEP]",nonmorphemic,11.248139294159717
100,mejoría,mejoría##s,plur,3,artificial,1.39665542064904e-06,singular,grande,s,[MASK] mejoría##s [MASK],"[CLS] , La , mejor , ##ía , ##s , [MASK] , [SEP]",nonmorphemic,13.481430164772016
101,mejoría,mejoría##s,plur,3,artificial,9.481640154263005e-05,plural,grandes,s,[MASK] mejoría##s [MASK],"[CLS] , La , mejor , ##ía , ##s , [MASK] , [SEP]",nonmorphemic,9.263568151615099
102,urna,urna,sing,2,default,0.0003663780225906521,singular,grande,s,[MASK] urna [MASK],"[CLS] , [MASK] , ur , ##na , [MASK] , [SEP]",nonmorphemic,7.911844908975704
103,urna,urna,sing,2,default,1.3386540558713023e-05,plural,grandes,s,[MASK] urna [MASK],"[CLS] , [MASK] , ur , ##na , [MASK] , [SEP]",nonmorphemic,11.221260791708147
104,urna,urnab,plur,2,default,7.197849481599405e-05,singular,grande,s,[MASK] urnab [MASK],"[CLS] , [MASK] , ur , ##nab , [MASK] , [SEP]",nonmorphemic,9.539143166674098
105,urna,urnab,plur,2,default,1.726833033899311e-05,plural,grandes,s,[MASK] urnab [MASK],"[CLS] , [MASK] , ur , ##nab , [MASK] , [SEP]",nonmorphemic,10.966636350329333
106,urna,urna##s,plur,3,artificial,1.0869041943806224e-05,singular,grande,s,[MASK] urna##s [MASK],"[CLS] , La , ur , ##na , ##s , [MASK] , [SEP]",nonmorphemic,11.429591998359829
107,urna,urna##s,plur,3,artificial,8.216806600103155e-05,plural,grandes,s,[MASK] urna##s [MASK],"[CLS] , La , ur , ##na , ##s , [MASK] , [SEP]",nonmorphemic,9.406743822856138
108,injerencia,injerencia,sing,2,default,2.5081992134801112e-05,singular,grande,s,[MASK] injerencia [MASK],"[CLS] , [MASK] , injer , ##encia , [MASK] , [SEP]",nonmorphemic,10.59336041414188
109,injerencia,injerencia,sing,2,default,3.9722845031064935e-06,plural,grandes,s,[MASK] injerencia [MASK],"[CLS] , [MASK] , injer , ##encia , [MASK] , [SEP]",nonmorphemic,12.43616918717966
110,injerencia,injeeencias,plur,4,default,5.113741735840449e-06,singular,grande,s,[MASK] injeeencias [MASK],"[CLS] , [MASK] , in , ##je , ##een , ##cias , [MASK] , [SEP]",nonmorphemic,12.183579183770508
111,injerencia,injeeencias,plur,4,default,0.0006200242787599564,plural,grandes,s,[MASK] injeeencias [MASK],"[CLS] , [MASK] , in , ##je , ##een , ##cias , [MASK] , [SEP]",nonmorphemic,7.38575192140159
112,injerencia,injerencia##s,plur,3,artificial,9.524985244979689e-08,singular,grande,s,[MASK] injerencia##s [MASK],"[CLS] , La , injer , ##encia , ##s , [MASK] , [SEP]",nonmorphemic,16.166762372024298
113,injerencia,injerencia##s,plur,3,artificial,5.468154085974675e-06,plural,grandes,s,[MASK] injerencia##s [MASK],"[CLS] , La , injer , ##encia , ##s , [MASK] , [SEP]",nonmorphemic,12.116569459913896
114,pollito,pollito,sing,2,default,0.00029549546889029443,singular,grande,s,[MASK] pollito [MASK],"[CLS] , [MASK] , pol , ##lito , [MASK] , [SEP]",nonmorphemic,8.12685705494027
115,pollito,pollito,sing,2,default,5.514362328540301e-06,plural,grandes,s,[MASK] pollito [MASK],"[CLS] , [MASK] , pol , ##lito , [MASK] , [SEP]",nonmorphemic,12.10815453686858
116,pollito,pñllitos,plur,4,default,1.2998255442653317e-05,singular,grande,s,[MASK] pñllitos [MASK],"[CLS] , [MASK] , p , ##ñ , ##lli , ##tos , [MASK] , [SEP]",nonmorphemic,11.250695406226898
117,pollito,pñllitos,plur,4,default,0.0010407206136733294,plural,grandes,s,[MASK] pñllitos [MASK],"[CLS] , [MASK] , p , ##ñ , ##lli , ##tos , [MASK] , [SEP]",nonmorphemic,6.867841908008863
118,pollito,pollito##s,plur,3,artificial,2.2122934751678258e-05,singular,grande,s,[MASK] pollito##s [MASK],"[CLS] , El , pol , ##lito , ##s , [MASK] , [SEP]",nonmorphemic,10.71889571598407
119,pollito,pollito##s,plur,3,artificial,6.028733332641423e-05,plural,grandes,s,[MASK] pollito##s [MASK],"[CLS] , El , pol , ##lito , ##s , [MASK] , [SEP]",nonmorphemic,9.71638853721884
120,indefinido,indefinido,sing,2,default,1.6620281257928582e-06,singular,grande,s,[MASK] indefinido [MASK],"[CLS] , [MASK] , indefin , ##ido , [MASK] , [SEP]",nonmorphemic,13.307471938814485
121,indefinido,indefinido,sing,2,default,3.985994112554181e-08,plural,grandes,s,[MASK] indefinido [MASK],"[CLS] , [MASK] , indefin , ##ido , [MASK] , [SEP]",nonmorphemic,17.037893999193916
122,indefinido,indefinñdos,plur,3,default,1.4492177342617651e-06,singular,grande,s,[MASK] indefinñdos [MASK],"[CLS] , [MASK] , indefin , ##ñ , ##dos , [MASK] , [SEP]",nonmorphemic,13.444486640723408
123,indefinido,indefinñdos,plur,3,default,0.00018474891840014607,plural,grandes,s,[MASK] indefinñdos [MASK],"[CLS] , [MASK] , indefin , ##ñ , ##dos , [MASK] , [SEP]",nonmorphemic,8.596512852550145
124,indefinido,indefinido##s,plur,3,artificial,8.229455488617532e-06,singular,grande,s,[MASK] indefinido##s [MASK],"[CLS] , El , indefin , ##ido , ##s , [MASK] , [SEP]",nonmorphemic,11.707790707235949
125,indefinido,indefinido##s,plur,3,artificial,6.934970588190481e-05,plural,grandes,s,[MASK] indefinido##s [MASK],"[CLS] , El , indefin , ##ido , ##s , [MASK] , [SEP]",nonmorphemic,9.576348652280851
126,retoque,retoque,sing,2,default,9.173306898446754e-05,singular,grande,s,[MASK] retoque [MASK],"[CLS] , [MASK] , reto , ##que , [MASK] , [SEP]",nonmorphemic,9.296627622287367
127,retoque,retoque,sing,2,default,1.881577009044122e-05,plural,grandes,s,[MASK] retoque [MASK],"[CLS] , [MASK] , reto , ##que , [MASK] , [SEP]",nonmorphemic,10.880815205155551
128,retoque,reyoques,plur,3,default,6.369103357428685e-05,singular,grande,s,[MASK] reyoques [MASK],"[CLS] , [MASK] , rey , ##o , ##ques , [MASK] , [SEP]",nonmorphemic,9.661466765509083
129,retoque,reyoques,plur,3,default,0.0013441109331324697,plural,grandes,s,[MASK] reyoques [MASK],"[CLS] , [MASK] , rey , ##o , ##ques , [MASK] , [SEP]",nonmorphemic,6.612022500754292
130,retoque,retoque##s,plur,3,artificial,9.323468361799314e-07,singular,grande,s,[MASK] retoque##s [MASK],"[CLS] , El , reto , ##que , ##s , [MASK] , [SEP]",nonmorphemic,13.885560949664454
131,retoque,retoque##s,plur,3,artificial,1.727003837004304e-05,plural,grandes,s,[MASK] retoque##s [MASK],"[CLS] , El , reto , ##que , ##s , [MASK] , [SEP]",nonmorphemic,10.966537444033804
132,retroceso,retroceso,sing,2,default,5.462966510094702e-05,singular,grande,s,[MASK] retroceso [MASK],"[CLS] , [MASK] , retroce , ##so , [MASK] , [SEP]",nonmorphemic,9.814933505889423
